Sujeto,Exp,Modo,Logger,Fase,Tini,Tfinal,Duracion,Jerk,Distancia,Mv,Me,Mo,RT,Ec,Eo
SUJ3,0,2,False,0.0,0.0,1783416933.5578003,1783416933.5578003,172.88811552700633,248.43143505923794,0.30758261222465355,2.301599351708453,2.301599351708453,0,0,0
SUJ3,0,2,False,1.0,1783416935.0568657,1783416946.0579188,11.001053094863892,121.72796053778188,305.62555731450084,0.9856137818274874,3.099052089040679,-3.099052089040679,0,0,0
SUJ3,0,2,False,2.0,1783416951.057958,1783416961.0564315,9.998473644256592,209.45859305664823,200.17942789342018,0.06309007665326026,0.1911459306020652,-0.1911459306020652,0,0,0
SUJ3,0,2,False,3.0,1783416963.5563853,1783416973.5577204,10.001335144042969,83.02885428547792,253.8321184300909,7.122016304311419,5.613575537848104,5.559182968203669,0,0,0
SUJ3,0,2,False,4.0,1783416975.5564313,1783416986.0579543,10.5015230178833,82.96053272115937,297.1261211898797,6.46847438652979,4.424427482590513,3.3601293377132264,0,0,0
SUJ3,0,2,False,5.0,1783416990.556332,1783417002.5567515,12.00041937828064,173.74509873227328,308.7243100682689,0.9844028227333778,8.962465041147286,-8.962465041147286,0,0,0
SUJ3,0,2,False,6.0,1783417004.556879,1783417012.0578587,7.500979661941528,96.921016265761,124.83546808037259,1.7411805974306045,1.6046937667351486,0.6040632349417785,0,0,0
SUJ3,0,2,False,7.0,1783417014.5578525,1783417020.556461,5.998608589172363,321.15335537714947,65.95916575877843,0.8679091189353801,1.9892196604325854,1.9892196604325854,0,0,0
SUJ3,0,2,False,8.0,1783417023.5564835,1783417033.556449,9.99996542930603,105.32295595764097,183.62323460900194,1.609080092582712,1.4717842987276624,-0.4308356036193767,0,0,0
SUJ3,0,2,False,9.0,1783417039.056399,1783417060.5578525,21.501453399658203,25.22394928741607,27.80023899094822,5.717483028207939,3.8643346700236023,0.05973446246955074,0,0,0
SUJ3,0,2,False,10.0,1783417064.056375,1783417074.057972,10.001596927642822,158.33856126878993,210.80372304919652,3.9254981747873963,4.618239528500091,3.028145604623136,0,0,0
SUJ3,0,0,True,0.0,1783420728.0573256,1783420737.0578237,9.000498056411743,69.54316024746942,170.9626162150351,0.4595873801534813,1.7536795391539612,-1.7536795391539612,0,0,0
SUJ3,0,0,True,1.0,1783420740.0592008,1783420750.5598054,10.500604629516602,21.817205313443303,297.12612118987965,0.23028913997570136,0.40102962672215803,-0.40102962672215803,0,0,0
SUJ3,0,0,True,2.0,1783420756.057492,1783420764.0570722,7.999580144882202,90.89456150000744,216.91269276376798,0.03000316876801466,0.1505554357651047,-0.1505554357651047,0,0,0
SUJ3,0,0,True,3.0,1783420767.556962,1783420776.5581615,9.00119948387146,83.0344514138931,222.57898351351537,12.003513034341761,6.803373753213431,6.803373753213431,0,0,0
SUJ3,0,0,True,4.0,1783420780.056904,1783420788.0567417,7.999837636947632,161.4195298736704,261.5347324180288,0.9966491583977386,0.556363608659504,0.37717752409616173,0,0,0
SUJ3,0,0,True,5.0,1783420790.5574296,1783420801.0569327,10.499503135681152,101.2391736648666,290.1317935456603,1.4859114256630161,10.423237845706538,-10.423237845706538,0,0,0
SUJ3,0,0,True,6.0,1783420804.5569582,1783420812.0584064,7.501448154449463,106.46791810363231,130.944437794944,0.6053725039954237,1.5193539409757943,-1.5193539409757943,0,0,0
SUJ3,0,0,True,7.0,1783420815.0572965,1783420819.558524,4.501227378845215,-1.0,0.0,0.2588983412661453,0.7648079306014001,-0.7648079306014001,0,0,0
SUJ3,0,0,True,8.0,1783420823.556934,1783420831.5569131,7.999979019165039,148.49793952128312,214.61076214668307,0.46092269301209227,0.48895632894338226,-0.48895632894338226,0,0,0
SUJ3,0,0,True,9.0,1783420833.556962,1783420843.55938,10.002418041229248,85.28516973612238,26.38366630351137,0.5709626097159122,0.3051879359710474,-0.24340193984909778,0,0,0
SUJ3,0,0,True,10.0,1783420846.5584605,1783420853.0586736,6.500213146209717,155.92023059345476,222.31337613462097,0.6234011572516192,5.032864355322946,-5.032864355322946,0,0,0
SUJ3,0,0,True,0.0,1783420728.0573256,1783420737.0578237,9.000498056411743,69.54316024746942,170.9626162150351,0.4595873801534813,1.7536795391539612,-1.7536795391539612,0,0,0
SUJ3,0,0,True,1.0,1783420740.0592008,1783420750.5598054,10.500604629516602,21.817205313443303,297.12612118987965,0.23028913997570136,0.40102962672215803,-0.40102962672215803,0,0,0
SUJ3,0,0,True,2.0,1783420756.057492,1783420764.0570722,7.999580144882202,90.89456150000744,216.91269276376798,0.03000316876801466,0.1505554357651047,-0.1505554357651047,0,0,0
SUJ3,0,0,True,3.0,1783420767.556962,1783420776.5581615,9.00119948387146,83.0344514138931,222.57898351351537,12.003513034341761,6.803373753213431,6.803373753213431,0,0,0
SUJ3,0,0,True,4.0,1783420780.056904,1783420788.0567417,7.999837636947632,161.4195298736704,261.5347324180288,0.9966491583977386,0.556363608659504,0.37717752409616173,0,0,0
SUJ3,0,0,True,5.0,1783420790.5574296,1783420801.0569327,10.499503135681152,101.2391736648666,290.1317935456603,1.4859114256630161,10.423237845706538,-10.423237845706538,0,0,0
SUJ3,0,0,True,6.0,1783420804.5569582,1783420812.0584064,7.501448154449463,106.46791810363231,130.944437794944,0.6053725039954237,1.5193539409757943,-1.5193539409757943,0,0,0
SUJ3,0,0,True,7.0,1783420815.0572965,1783420819.558524,4.501227378845215,-1.0,0.0,0.2588983412661453,0.7648079306014001,-0.7648079306014001,0,0,0
SUJ3,0,0,True,8.0,1783420823.556934,1783420831.5569131,7.999979019165039,148.49793952128312,214.61076214668307,0.46092269301209227,0.48895632894338226,-0.48895632894338226,0,0,0
SUJ3,0,0,True,9.0,1783420833.556962,1783420843.55938,10.002418041229248,85.28516973612238,26.38366630351137,0.5709626097159122,0.3051879359710474,-0.24340193984909778,0,0,0
SUJ3,0,0,True,10.0,1783420846.5584605,1783420853.0586736,6.500213146209717,155.92023059345476,222.31337613462097,0.6234011572516192,5.032864355322946,-5.032864355322946,0,0,0
SUJ4;0;0;True;0.0;1783930001.8575523;1783930014.357189;12.49963665008545;58.21839338454757;254.80601215270377;0.2885762670164329;1.5982899275893843;-1.5982899275893843;0;0;0
SUJ4;0;0;True;1.0;1783930016.857756;1783930028.858871;12.001115083694458;35.32973200335028;296.8605138109853;0.4926860665600516;0.3623792769283987;0.20108117457910898;0;0;0
SUJ4;0;0;True;2.0;1783930031.8574605;1783930041.8584597;10.000999212265015;59.75759280530943;213.10565366628146;0.14330528027006387;0.49567530840840385;-0.49567530840840385;0;0;0
SUJ4;0;0;True;3.0;1783930044.8570745;1783930054.8585806;10.001506090164185;60.754635452789756;222.22484034165618;0.19458523395017024;0.30833116929102256;0.30833116929102256;0;0;0
SUJ4;0;0;True;4.0;1783930056.3589225;1783930066.8588257;10.499903202056885;89.61768375177749;305.71409310746566;10.547989513052578;5.634470678439418;3.0948470003956428;0;0;0
SUJ4;0;0;True;5.0;1783930068.8571334;1783930081.8574889;13.00035548210144;55.31722191286243;332.8945815476602;0.8112124770710721;1.4613576820854908;-1.4613576820854908;0;0;0
SUJ4;0;0;True;6.0;1783930084.3572392;1783930094.8570664;10.499827146530151;49.5008300136214;95.88426378088194;1.848566871891156;1.883230652460141;-1.883230652460141;0;0;0
SUJ4;0;0;True;7.0;1783930096.859525;1783930105.3571155;8.4975905418396;54.209273012780635;153.69813658689844;0.11320189318201565;0.21381880500640316;-0.21381880500640316;0;0;0
SUJ4;0;0;True;8.0;1783930107.857301;1783930116.8579092;9.000608205795288;56.35804805208973;209.4756861547245;0.7483016596376081;0.8286936467909307;0.5519839776414385;0;0;0
SUJ4;0;0;True;9.0;1783930118.8570926;1783930127.8596344;9.002541780471802;200.21770116302275;44.44496806833123;0.15432817488015946;0.5049653217681153;-0.5049653217681153;0;0;0
SUJ4;0;0;True;10.0;1783930129.8591266;1783930136.358337;6.499210357666016;116.54056671648914;174.68111951955683;4.3330688818693766;5.709546851889583;-5.709546851889583;0;0;0
SUJ4;0;0;False;0.0;0.0;1783930014.3566914;1783930014.3566914;68.67141658574405;225.4121288883891;0.268063258563322;1.4689303957042987;-1.4689303957042987;0;0;0
SUJ4;0;0;False;1.0;1783930016.8580456;1783930028.857334;11.999288320541382;35.33002390720915;296.8605138109853;0.4926860665600516;0.3623792769283987;0.20108117457910898;0;0;0
SUJ4;0;0;False;2.0;1783930031.8566487;1783930041.8567803;10.000131607055664;59.804982054167795;213.10565366628146;0.14330528027006387;0.49567530840840385;-0.49567530840840385;0;0;0
SUJ4;0;0;False;3.0;1783930044.8565793;1783930054.8573437;10.0007643699646;60.73900164470206;222.22484034165618;0.19458523395017024;0.30833116929102256;0.30833116929102256;0;0;0
SUJ4;0;0;False;4.0;1783930056.3566227;1783930066.8573368;10.50071406364441;89.60810567702303;305.71409310746566;10.547989513052578;5.634470678439418;3.0948470003956428;0;0;0
SUJ4;0;0;False;5.0;1783930068.8566182;1783930081.858554;13.001935720443726;55.31182296381352;332.8945815476602;0.8112124770710721;1.4613576820854908;-1.4613576820854908;0;0;0
SUJ4;0;0;False;6.0;1783930084.3566456;1783930094.8576577;10.501012086868286;49.49360046174562;95.88426378088194;1.848566871891156;1.883230652460141;-1.883230652460141;0;0;0
SUJ4;0;0;False;7.0;1783930096.8573322;1783930105.3565867;8.49925446510315;54.190381648406685;153.69813658689844;0.11320189318201565;0.21381880500640316;-0.21381880500640316;0;0;0
SUJ4;0;0;False;8.0;1783930107.856671;1783930116.8565853;8.999914169311523;56.323591934652;209.4756861547245;0.7483016596376081;0.8286936467909307;0.5519839776414385;0;0;0
SUJ4;0;0;False;9.0;1783930118.858335;1783930127.856668;8.998332977294922;200.2289221741559;44.44496806833123;0.15432817488015946;0.5049653217681153;-0.5049653217681153;0;0;0
SUJ4;0;0;False;10.0;1783930129.8583343;1783930136.3573382;6.499003887176514;116.58515261972234;174.68111951955683;4.3330688818693766;5.709546851889583;-5.709546851889583;0;0;0
SUJ4;0;1;True;0.0;1783929444.3587687;1783929462.8570745;18.498305797576904;52.75542044673793;234.26570818486942;3.183777204546508;2.1317548738024574;-1.9607519875283987;0;0;0
SUJ4;0;1;True;1.0;1783929468.3571017;1783929493.8571336;25.5000319480896;38.28406258802397;277.1170319798342;4.090485915391938;11.657253181011098;-11.657253181011098;0;0;0
SUJ4;0;1;True;2.0;1783929501.8571184;1783929512.857468;11.000349521636963;105.6850494792076;187.60734529241807;0.007696804659089227;14.871371481787287;-14.871371481787287;0;0;0
SUJ4;0;1;True;3.0;1783929516.858179;1783929549.357056;32.49887681007385;84.10663230141164;230.98988384517168;23.13072084743368;21.59410471149551;5.8694318029230415;0;0;0
SUJ4;0;1;True;4.0;1783929554.3581903;1783929563.8588378;9.50064754486084;145.84701741937008;154.84910189544092;0.016086366730705026;3.442491934355761;-3.442491934355761;0;0;0
SUJ4;0;1;True;5.0;1783929566.3588445;1783929627.8583655;61.499521017074585;52.09269005294014;596.642708789809;32.74392798498165;30.783494654514467;-4.557447714382028;0;0;0
SUJ4;0;1;True;6.0;1783929630.3570745;1783929646.857005;16.499930381774902;70.29606036152974;85.61411179696475;0.2557488334135781;12.913130862047302;-12.913130862047302;0;0;0
SUJ4;0;1;True;7.0;1783929652.3577943;1783929664.3589425;12.001148223876953;77.4869484565004;133.6005115838881;0.0033715584628208136;6.4483922609303015;-6.4483922609303015;0;0;0
SUJ4;0;1;True;8.0;1783929666.8586054;1783929686.3570611;19.49845576286316;85.53974264439222;368.3088987335816;4.238516064932441;5.159422878151885;4.627568583558502;0;0;0
SUJ4;0;1;True;9.0;1783929690.357125;1783929698.8602233;8.503098249435425;106.61490573688917;8.853579296480323;4.38274895010701;6.787378565015946;-6.086021675290949;0;0;0
SUJ4;0;1;True;10.0;1783929701.8577845;1783929703.8571625;1.999377965927124;-1.0;0.0;;11.264856616327037;11.264856616327037;0;0;0
