"log_time_s","publish_time_s","data"
"1781507799.2283971","1781507799.2282257","2"
"1781507801.2284803","1781507801.2282383","3"
"1781507803.2297177","1781507803.229514","4"
"1781507805.2290223","1781507805.2289011","5"
"1781507807.22962","1781507807.2294252","6"
"1781507809.2282197","1781507809.2280366","7"
"1781507811.2288666","1781507811.2287326","8"
"1781507813.2283034","1781507813.22802","9"
"1781507815.2294774","1781507815.2292917","10"
"1781507817.228176","1781507817.2279723","11"
"1781507819.2301166","1781507819.229913","12"
"1781507821.2294006","1781507821.2291772","13"
"1781507823.230016","1781507823.2298675","14"
"1781507825.2291925","1781507825.2289667","15"
"1781507827.2302942","1781507827.230062","16"
"1781507829.229077","1781507829.2289531","17"
"1781507831.2307107","1781507831.2305179","18"
"1781507833.2294772","1781507833.2292645","19"
"1781507835.2303562","1781507835.2302237","20"
"1781507837.2288504","1781507837.2286422","21"
"1781507839.2303789","1781507839.2301595","22"
"1781507841.2281156","1781507841.2279084","23"
"1781507843.2292397","1781507843.2290022","24"
"1781507845.2279558","1781507845.2277937","25"
"1781507847.228521","1781507847.2282388","26"
"1781507849.2282412","1781507849.228059","27"
"1781507851.2292218","1781507851.2290184","28"
"1781507853.229031","1781507853.2288542","29"
"1781507855.2290573","1781507855.228859","30"
"1781507857.2290103","1781507857.2288365","31"
"1781507859.2298012","1781507859.2296395","32"
"1781507861.2290688","1781507861.2288432","33"
"1781507863.2298322","1781507863.2296212","34"
"1781507865.2280698","1781507865.227855","35"
"1781507867.2277246","1781507867.227511","36"
"1781507869.231092","1781507869.2309275","37"
"1781507871.2289507","1781507871.228759","38"
"1781507873.2293816","1781507873.2291868","39"
"1781507875.230022","1781507875.2298403","40"
"1781507877.2289886","1781507877.2288108","41"
"1781507879.2300065","1781507879.2298083","42"
"1781507881.2290583","1781507881.2288656","43"
"1781507883.2286954","1781507883.228485","44"
"1781507885.227733","1781507885.2275553","45"
"1781507887.2284908","1781507887.2283068","46"
"1781507889.2280037","1781507889.2278352","47"
"1781507891.2293186","1781507891.2291112","48"
"1781507893.2290413","1781507893.2288606","49"
"1781507895.2299445","1781507895.2297552","50"
"1781507897.2294304","1781507897.2292347","51"
"1781507899.2296724","1781507899.2294977","52"
"1781507901.2289975","1781507901.228814","53"
"1781507903.229507","1781507903.2293062","54"
"1781507905.2281308","1781507905.22795","55"
"1781507907.2287707","1781507907.228585","56"
"1781507909.2274163","1781507909.227239","57"
"1781507911.2286422","1781507911.2284548","58"
"1781507913.2287078","1781507913.228533","59"
"1781507915.2297406","1781507915.229516","60"
"1781507917.2292345","1781507917.228985","61"
"1781507919.2300572","1781507919.2298458","62"
"1781507921.2288785","1781507921.2286615","63"
"1781507923.2318964","1781507923.2317169","64"
"1781507925.2283664","1781507925.2281044","65"
"1781507927.2287118","1781507927.2285125","66"
"1781507929.2284534","1781507929.228221","67"
"1781507931.2299755","1781507931.2297664","68"
"1781507933.2279403","1781507933.2277186","69"
"1781507935.2289405","1781507935.2287152","70"
"1781507937.2290728","1781507937.2288516","71"
"1781507939.229496","1781507939.229186","72"
"1781507941.2292197","1781507941.2289798","73"
"1781507943.2297316","1781507943.2295194","74"
"1781507945.2285063","1781507945.228291","75"
"1781507947.2286675","1781507947.228451","76"
"1781507949.2280917","1781507949.2278855","77"
"1781507951.2287073","1781507951.2284932","78"
"1781507953.2284489","1781507953.2282174","79"
"1781507955.2297459","1781507955.2295632","80"
"1781507957.2288406","1781507957.2286372","81"
"1781507959.228824","1781507959.2286057","82"
"1781507961.2291718","1781507961.2289567","83"
"1781507963.2297988","1781507963.2296145","84"
"1781507965.228702","1781507965.2285147","85"
"1781507967.2289894","1781507967.22877","86"
"1781507969.2294261","1781507969.2291927","87"
"1781507971.230043","1781507971.2298272","88"
"1781507973.2292428","1781507973.2290146","89"
"1781507975.2301464","1781507975.229945","90"
"1781507977.2313309","1781507977.2311442","91"
"1781507979.2297","1781507979.2295175","92"
"1781507981.2282164","1781507981.2280223","93"
"1781507983.228675","1781507983.2284966","94"
"1781507985.22884","1781507985.2286592","95"
"1781507987.2301037","1781507987.229843","96"
"1781507989.228987","1781507989.2288141","97"
"1781507991.229928","1781507991.2297509","98"
"1781507993.2293057","1781507993.2291133","99"
"1781507995.2286546","1781507995.2284365","100"
"1781507997.2275949","1781507997.227388","101"
"1781507999.228283","1781507999.228046","102"
"1781508001.2288146","1781508001.2285955","103"
"1781508003.2299404","1781508003.2297144","104"
"1781508005.2285237","1781508005.2283063","105"
"1781508007.2286403","1781508007.2284195","106"
"1781508009.2287486","1781508009.228529","107"
"1781508011.2281406","1781508011.227914","108"
"1781508013.228312","1781508013.2280898","109"
"1781508015.2285285","1781508015.2283053","110"
"1781508017.2281883","1781508017.2279701","111"
"1781508019.2294323","1781508019.2291903","112"
"1781508021.2288296","1781508021.228616","113"
"1781508023.2299762","1781508023.2297792","114"
"1781508025.2280798","1781508025.2278633","115"
