"log_time_s","publish_time_s","data"
"1781507797.9306564","1781507797.930448","0"
"1781507798.9307358","1781507798.9306715","0"
"1781507799.9306667","1781507799.9305086","0"
"1781507800.9305906","1781507800.930445","-54"
"1781507801.9305995","1781507801.9304504","-166"
"1781507802.9306092","1781507802.930446","-169"
"1781507803.9305677","1781507803.9304163","-169"
"1781507804.9305973","1781507804.930447","-174"
"1781507805.9305792","1781507805.9304278","-171"
"1781507806.930586","1781507806.9304338","-152"
"1781507807.9305325","1781507807.9304","11"
"1781507808.9305775","1781507808.9304202","0"
"1781507809.9305863","1781507809.9304283","0"
"1781507810.9305854","1781507810.9304426","0"
"1781507811.9305446","1781507811.9303963","0"
"1781507812.9306483","1781507812.930486","0"
"1781507813.9305882","1781507813.9304397","0"
"1781507814.9305885","1781507814.9304318","0"
"1781507815.9305825","1781507815.9304357","0"
"1781507816.9306214","1781507816.93047","0"
"1781507817.9305975","1781507817.9304357","0"
"1781507818.9305897","1781507818.9304428","0"
"1781507819.9305863","1781507819.9304435","0"
"1781507820.930593","1781507820.9304347","0"
"1781507821.9305916","1781507821.9304445","0"
"1781507822.9305818","1781507822.9304395","0"
"1781507823.9306056","1781507823.9304416","0"
"1781507824.9305756","1781507824.9304318","0"
"1781507825.9306056","1781507825.9304535","0"
"1781507826.9305775","1781507826.9304209","0"
"1781507827.9305835","1781507827.9304338","0"
"1781507828.9305415","1781507828.9304006","0"
"1781507829.9305868","1781507829.93043","-9"
"1781507830.9306667","1781507830.9305801","4"
"1781507831.9305823","1781507831.930439","0"
"1781507832.9305568","1781507832.9303923","0"
"1781507833.9305882","1781507833.9304354","9"
"1781507834.930579","1781507834.9304376","40"
"1781507835.9305887","1781507835.9304233","127"
"1781507836.9305968","1781507836.9304483","205"
"1781507837.9306114","1781507837.9304574","216"
"1781507838.9305902","1781507838.9304357","205"
"1781507839.9306028","1781507839.9304514","206"
"1781507840.9306116","1781507840.9304638","213"
"1781507841.9305785","1781507841.9304295","207"
"1781507842.9305959","1781507842.930453","181"
"1781507843.9306064","1781507843.9304636","11"
"1781507844.930635","1781507844.9304655","0"
"1781507845.9305687","1781507845.9304225","0"
"1781507846.9306061","1781507846.9304676","0"
"1781507847.930622","1781507847.930454","0"
"1781507848.9306264","1781507848.9304805","0"
"1781507849.9306273","1781507849.9304774","0"
"1781507850.9308517","1781507850.9306831","0"
"1781507851.9305959","1781507851.9304512","0"
"1781507852.930586","1781507852.930448","0"
"1781507853.9306276","1781507853.9304578","0"
"1781507854.9306064","1781507854.930455","0"
"1781507855.9305944","1781507855.9304514","0"
"1781507856.9306731","1781507856.9304788","79"
"1781507857.9306366","1781507857.9304492","233"
"1781507858.930646","1781507858.9304562","244"
"1781507859.9305818","1781507859.9304297","245"
"1781507860.9305873","1781507860.9304388","239"
"1781507861.930588","1781507861.9304461","166"
"1781507862.9305742","1781507862.9304204","0"
"1781507863.930586","1781507863.930438","0"
"1781507864.930581","1781507864.9304373","0"
"1781507865.9305894","1781507865.9304283","0"
"1781507866.9305456","1781507866.9304092","0"
"1781507867.9304852","1781507867.9303424","0"
"1781507868.9306188","1781507868.9304538","0"
"1781507869.9306817","1781507869.9306","0"
"1781507870.9306066","1781507870.930463","0"
"1781507871.930568","1781507871.9304097","0"
"1781507872.9305983","1781507872.9304495","0"
"1781507873.9306178","1781507873.9304664","-47"
"1781507874.930703","1781507874.930475","-200"
"1781507875.930601","1781507875.9303954","-225"
"1781507876.9306667","1781507876.9305248","-238"
"1781507877.9306643","1781507877.9305122","-266"
"1781507878.9306614","1781507878.9305174","-238"
"1781507879.930628","1781507879.9304867","-228"
