"log_time_s","publish_time_s","data"
"1781507797.9307213","1781507797.9306395","0"
"1781507798.930749","1781507798.9307134","0"
"1781507799.9307358","1781507799.9306414","0"
"1781507800.9306648","1781507800.9305708","-63"
"1781507801.9306688","1781507801.930583","-172"
"1781507802.9306803","1781507802.9305794","-174"
"1781507803.9306512","1781507803.9305444","-170"
"1781507804.9306614","1781507804.930576","-171"
"1781507805.930649","1781507805.9305515","-172"
"1781507806.9306507","1781507806.9305606","-163"
"1781507807.930596","1781507807.930512","16"
"1781507808.930669","1781507808.9305508","0"
"1781507809.9306521","1781507809.9305556","0"
"1781507810.9306514","1781507810.9305618","0"
"1781507811.9306111","1781507811.9305196","0"
"1781507812.9307244","1781507812.9306269","0"
"1781507813.9306529","1781507813.9305665","0"
"1781507814.9306552","1781507814.930564","0"
"1781507815.9306526","1781507815.9305649","0"
"1781507816.930687","1781507816.9306076","0"
"1781507817.9306648","1781507817.9305663","0"
"1781507818.9306598","1781507818.9305687","0"
"1781507819.9306524","1781507819.930566","0"
"1781507820.9306579","1781507820.9305685","0"
"1781507821.9306622","1781507821.9305665","0"
"1781507822.930648","1781507822.93056","0"
"1781507823.9306793","1781507823.9305794","0"
"1781507824.9306352","1781507824.9305527","0"
"1781507825.9306717","1781507825.9305816","0"
"1781507826.9306428","1781507826.9305546","0"
"1781507827.9306557","1781507827.930562","0"
"1781507828.9306035","1781507828.9305215","0"
"1781507829.9306614","1781507829.93056","-5"
"1781507830.9306836","1781507830.930624","1"
"1781507831.9306455","1781507831.93056","0"
"1781507832.9306238","1781507832.9305267","0"
"1781507833.9306602","1781507833.9305618","30"
"1781507834.930644","1781507834.9305573","28"
"1781507835.9306564","1781507835.9305575","128"
"1781507836.9306662","1781507836.9305787","202"
"1781507837.9306777","1781507837.9305894","216"
"1781507838.9306607","1781507838.9305658","208"
"1781507839.9306703","1781507839.930576","211"
"1781507840.9306784","1781507840.9305944","215"
"1781507841.9306443","1781507841.9305503","208"
"1781507842.9306662","1781507842.930586","191"
"1781507843.93067","1781507843.9305968","17"
"1781507844.9307096","1781507844.930607","0"
"1781507845.9306338","1781507845.9305594","0"
"1781507846.9306703","1781507846.9305892","0"
"1781507847.9306948","1781507847.9305913","0"
"1781507848.9306896","1781507848.9306066","0"
"1781507849.9306912","1781507849.9306102","0"
"1781507850.9309242","1781507850.930821","0"
"1781507851.9306636","1781507851.9305747","0"
"1781507852.930651","1781507852.9305644","0"
"1781507853.9307005","1781507853.9305956","0"
"1781507854.9306726","1781507854.9305844","0"
"1781507855.9306617","1781507855.9305732","0"
"1781507856.9307477","1781507856.9306402","47"
"1781507857.9307075","1781507857.930594","168"
"1781507858.9307296","1781507858.930616","178"
"1781507859.930652","1781507859.9305546","183"
"1781507860.9306598","1781507860.9305637","179"
"1781507861.9306557","1781507861.9305675","132"
"1781507862.9306355","1781507862.9305415","0"
"1781507863.9306514","1781507863.9305632","0"
"1781507864.930643","1781507864.9305582","0"
"1781507865.930658","1781507865.9305613","0"
"1781507866.930611","1781507866.9305253","0"
"1781507867.9305484","1781507867.930467","0"
"1781507868.9306862","1781507868.930587","0"
"1781507869.9306974","1781507869.930643","0"
"1781507870.930667","1781507870.9305868","0"
"1781507871.9306319","1781507871.93054","0"
"1781507872.9306767","1781507872.9305756","0"
"1781507873.930779","1781507873.9306002","-32"
"1781507874.930773","1781507874.9306808","-169"
"1781507875.9306622","1781507875.93058","-190"
"1781507876.9307315","1781507876.930646","-188"
"1781507877.9307308","1781507877.930639","-187"
"1781507878.9307342","1781507878.9306383","-189"
"1781507879.9306874","1781507879.93061","-187"
"1781507880.930758","1781507880.9306624","-191"
"1781507881.9307833","1781507881.930697","-178"
"1781507882.9307392","1781507882.930651","1"
"1781507883.930771","1781507883.9306786","0"
"1781507884.93079","1781507884.9306982","0"
"1781507885.93078","1781507885.9306912","0"
"1781507886.9307652","1781507886.9306734","0"
"1781507887.9306781","1781507887.930583","0"
"1781507888.9306822","1781507888.9306028","0"
"1781507889.9306693","1781507889.9305663","0"
"1781507890.9306827","1781507890.9306333","0"
"1781507891.9306512","1781507891.930566","0"
"1781507892.9305809","1781507892.930493","0"
"1781507893.9307494","1781507893.9306579","0"
"1781507894.9306598","1781507894.9305782","0"
"1781507895.9306607","1781507895.9305625","0"
"1781507896.9306273","1781507896.9305434","0"
"1781507897.9306831","1781507897.9305944","0"
"1781507898.9306617","1781507898.9305592","3"
"1781507899.9306867","1781507899.9305933","107"
"1781507900.9306684","1781507900.9305828","212"
"1781507901.930688","1781507901.9305913","235"
"1781507902.930659","1781507902.9305706","246"
"1781507903.9306407","1781507903.930556","240"
"1781507904.9306784","1781507904.9305794","227"
"1781507905.9306283","1781507905.9305472","13"
"1781507906.930672","1781507906.9305887","0"
"1781507907.9306672","1781507907.930574","0"
"1781507908.9306793","1781507908.930586","0"
"1781507909.9306037","1781507909.9305196","0"
"1781507910.930651","1781507910.930555","0"
"1781507911.9306722","1781507911.9305851","0"
"1781507912.930668","1781507912.930579","0"
"1781507913.9306486","1781507913.9305973","0"
"1781507914.930687","1781507914.9305916","-10"
"1781507915.9306774","1781507915.9305952","-139"
"1781507916.9307008","1781507916.9305794","-146"
