"log_time_s","publish_time_s","file","function","level","line","msg","name"
"1781507797.0913079","1781507797.0912778","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/rosout'","rosbag2_recorder"
"1781507797.0939593","1781507797.0939379","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/events/write_split'","rosbag2_recorder"
"1781507797.094139","1781507797.0941184","./src/rosbag2_transport/recorder.cpp","record","20","365","Recording...","rosbag2_recorder"
"1781507797.1618657","1781507797.0490448","./src/rosbag2_transport/recorder.cpp","RecorderImpl","20","190","Press SPACE for pausing/resuming","rosbag2_recorder"
"1781507797.1619005","1781507797.0834672","./src/rosbag2_transport/recorder.cpp","record","20","353","Listening for topics...","rosbag2_recorder"
"1781507797.1619043","1781507797.0837855","./src/rosbag2_transport/recorder.cpp","event_publisher_thread_main","20","371","Event publisher thread: Starting","rosbag2_recorder"
"1781507797.1703494","1781507796.2526321","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/BagControlNode.py","start_bag","20","58","Iniciando grabación: ./samuchair_bag/USUARIO1_0_2_2026_06_15-09_15_59","BagControlNode"
"1781507797.2330127","1781507792.7419586","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py","timer_callback","20","300","Dato publicado Fase Ejecucion: 0","Movil"
"1781507797.233045","1781507796.241825","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py","timer_callback","20","300","Dato publicado Fase Ejecucion: 20","Movil"
"1781507797.3075652","1781507797.3075225","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/name_movil'","rosbag2_recorder"
"1781507797.3115296","1781507797.311457","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/name_movil_hash'","rosbag2_recorder"
"1781507797.3138795","1781507797.3138509","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/Headphones_status'","rosbag2_recorder"
"1781507797.3162894","1781507797.3162568","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/diff_time'","rosbag2_recorder"
"1781507797.3183749","1781507797.3183432","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/arduino_status'","rosbag2_recorder"
"1781507797.3208666","1781507797.3208323","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/tipo_exp'","rosbag2_recorder"
"1781507797.3232722","1781507797.3232315","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/right_wheel_steps'","rosbag2_recorder"
"1781507797.3255339","1781507797.325492","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/random_time'","rosbag2_recorder"
"1781507797.3277123","1781507797.3276777","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/pot_esp32'","rosbag2_recorder"
"1781507797.3321905","1781507797.3321593","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/parameter_events'","rosbag2_recorder"
