"log_time_s","publish_time_s","data"
"1781507799.4504385","1781507799.4503033","1"
"1781507806.3005311","1781507806.3003638","0"
"1781507831.1007493","1781507831.1002753","1"
"1781507832.9504757","1781507832.950363","0"
"1781507834.25045","1781507834.2502863","1"
"1781507842.2504032","1781507842.2502654","0"
"1781507891.0003436","1781507891.00018","1"
"1781507896.9504","1781507896.9502726","0"
"1781507898.100255","1781507898.1000965","1"
"1781507904.4001846","1781507904.400043","0"
"1781507916.1002808","1781507916.1001127","1"
"1781507920.6502507","1781507920.6500936","0"
"1781507937.450425","1781507937.4502845","1"
"1781507943.5503564","1781507943.550288","0"
"1781507956.650334","1781507956.6501627","1"
"1781507958.4003515","1781507958.4001746","0"
"1781507970.10035","1781507970.1001894","1"
"1781507975.1004903","1781507975.100329","0"
"1781507985.900289","1781507985.9001114","1"
"1781507992.0502405","1781507992.05008","0"
"1781508004.1003938","1781508004.1002467","1"
"1781508009.050462","1781508009.0502975","0"
"1781508015.1002915","1781508015.1001155","1"
"1781508017.550478","1781508017.5503237","0"
