"log_time_s","publish_time_s","data"
"1781507799.3002644","1781507799.3001149","1"
"1781507806.2503767","1781507806.2501726","0"
"1781507829.10027","1781507829.1000948","1"
"1781507829.5502744","1781507829.5501113","0"
"1781507831.1002657","1781507831.100105","1"
"1781507832.9503481","1781507832.950217","0"
"1781507833.3003883","1781507833.300233","1"
"1781507842.2003264","1781507842.2001653","0"
"1781507855.6002483","1781507855.600088","1"
"1781507861.1003027","1781507861.1000893","0"
"1781507870.1005256","1781507870.1003447","1"
"1781507872.0502455","1781507872.0500865","0"
"1781507872.7002487","1781507872.7000773","1"
"1781507881.1504366","1781507881.1502924","0"
"1781507897.950367","1781507897.9502244","1"
"1781507899.2503455","1781507899.2501936","0"
"1781507913.7002819","1781507913.700098","1"
"1781507915.9504216","1781507915.950279","0"
"1781507937.2504153","1781507937.250268","1"
"1781507943.550281","1781507943.5501196","0"
"1781507956.5504322","1781507956.5502906","1"
"1781507958.300359","1781507958.3001802","0"
"1781507970.000336","1781507970.000163","1"
"1781507971.5503728","1781507971.55022","0"
"1781507972.2002428","1781507972.2000992","1"
"1781507975.050231","1781507975.0500753","0"
"1781508003.9002979","1781508003.9001274","1"
"1781508009.0002868","1781508009.000115","0"
"1781508015.0003443","1781508015.00017","1"
"1781508017.5002496","1781508017.500078","0"
