log_time_s,publish_time_s,data
1763973959.7549965,1763973959.754859,12
1763973959.7924097,1763973959.7923107,12
1763973959.7933087,1763973959.7932372,6
1763973959.8674128,1763973959.8673108,17
1763973959.904933,1763973959.9048207,5
1763973960.0174923,1763973960.0173554,15
1763973960.0548842,1763973960.0547967,9
1763973960.1674826,1763973960.1673565,10
1763973960.242434,1763973960.24234,3
1763973960.2798572,1763973960.2797728,12
1763973960.2806919,1763973960.280622,6
1763973960.4299753,1763973960.4298692,0
1763973960.430837,1763973960.4307802,5
1763973960.4674337,1763973960.4673438,0
1763973968.3573039,1763973968.3560557,-1
1763973970.3870873,1763973970.3867924,-2
1763973973.3258061,1763973973.3256557,0
1763973973.326782,1763973973.326719,5
1763973973.513317,1763973973.5131795,15
1763973973.5507593,1763973973.5506325,9
1763973973.6257164,1763973973.625608,10
1763973973.6632347,1763973973.6631358,3
1763973973.7757707,1763973973.7756438,12
1763973973.7766197,1763973973.7765617,6
1763973973.8883035,1763973973.8881996,17
1763973973.9257917,1763973973.9256556,5
1763973974.0383186,1763973974.0382092,15
1763973974.1133335,1763973974.1132147,9
1763973974.2633348,1763973974.2632236,10
1763973974.3007457,1763973974.3006494,3
1763973974.4508185,1763973974.4506943,12
1763973974.4516895,1763973974.4516299,6
1763973974.7508838,1763973974.7507482,0
1763973974.7518325,1763973974.7517679,3
1763973974.900868,1763973974.900745,10
1763973974.9758976,1763973974.9757621,9
1763973975.0133436,1763973975.0132344,15
1763973975.0883121,1763973975.0882185,5
1763973975.2008362,1763973975.2007482,17
1763973975.2382915,1763973975.2382102,6
1763973975.350876,1763973975.3507707,0
1763973975.3518007,1763973975.35174,3
1763973975.4633927,1763973975.4632847,10
1763973975.500853,1763973975.5007563,9
1763973975.6133869,1763973975.6132846,15
1763973975.7259128,1763973975.7257874,5
1763973975.8008683,1763973975.800763,17
1763973975.8383315,1763973975.838248,6
1763973975.9134285,1763973975.9133012,12
1763973975.9509087,1763973975.9507892,3
1763973976.0634096,1763973976.063308,10
1763973976.1759393,1763973976.1758058,9
1763973976.2134044,1763973976.213299,15
1763973976.2884045,1763973976.2883017,5
1763973976.4009705,1763973976.4008336,17
1763973976.4018896,1763973976.4018276,6
1763973976.5134764,1763973976.5133455,0
1763973976.5143704,1763973976.514317,3
1763973976.6259627,1763973976.6258485,10
1763973976.6269035,1763973976.626845,9
1763973976.7385004,1763973976.7383687,0
