"log_time_s","publish_time_s","data"
"1763973954.4268863","1763973954.4268148","0"
"1763973954.9269056","1763973954.9268389","0"
"1763973955.426902","1763973955.4268355","0"
"1763973955.926947","1763973955.9268622","0"
"1763973956.4268913","1763973956.4268262","0"
"1763973956.926916","1763973956.9268491","1"
"1763973957.426885","1763973957.4268212","1"
"1763973957.9268916","1763973957.9268253","1"
"1763973958.4270177","1763973958.4269264","1"
"1763973958.9269478","1763973958.9268782","1"
"1763973959.4268668","1763973959.4267936","1"
"1763973959.9268067","1763973959.9267466","0"
"1763973960.4268649","1763973960.4268026","0"
"1763973960.9269352","1763973960.926857","0"
"1763973961.4269168","1763973961.42685","0"
"1763973961.9269023","1763973961.9268377","0"
"1763973962.4269178","1763973962.4268508","0"
"1763973962.926925","1763973962.9268584","0"
"1763973963.4268935","1763973963.426829","0"
"1763973963.9269364","1763973963.9268703","0"
"1763973964.4268687","1763973964.4267986","0"
"1763973964.9269238","1763973964.9268606","0"
"1763973965.4268553","1763973965.4267929","0"
"1763973965.9269338","1763973965.9268675","0"
"1763973966.4269445","1763973966.4268603","0"
"1763973966.9269474","1763973966.926883","0"
"1763973967.4269106","1763973967.4268527","0"
"1763973967.9269273","1763973967.9268565","0"
"1763973968.4274173","1763973968.4269233","0"
"1763973968.9266758","1763973968.9266272","0"
"1763973969.4270525","1763973969.4269688","0"
"1763973969.9269075","1763973969.9268026","0"
"1763973970.4274411","1763973970.4272387","0"
"1763973970.9284618","1763973970.9281647","0"
"1763973971.4269443","1763973971.4268746","1"
"1763973971.9270148","1763973971.9269469","1"
"1763973972.4269514","1763973972.4268901","1"
"1763973972.9269178","1763973972.9268527","0"
"1763973973.4269805","1763973973.4269125","0"
"1763973973.9270139","1763973973.9269168","0"
"1763973974.426996","1763973974.4268525","0"
"1763973974.926859","1763973974.9268029","0"
"1763973975.426958","1763973975.4268234","0"
"1763973975.9268956","1763973975.9268322","0"
"1763973976.4268253","1763973976.4267318","0"
"1763973976.926931","1763973976.9267893","0"
"1763973977.4269035","1763973977.4268363","0"
