log_time_s,publish_time_s,data
1765966790.3932698,1765966790.393197,0
1765966790.8932734,1765966790.8931952,0
1765966791.3932629,1765966791.3931665,0
1765966791.8932757,1765966791.8931782,0
1765966792.3939204,1765966792.3932042,0
1765966792.8931997,1765966792.8931355,0
1765966793.3931718,1765966793.3931081,0
1765966793.8932016,1765966793.8931365,0
1765966794.3932004,1765966794.3931334,0
1765966794.8931863,1765966794.8931127,0
1765966795.393142,1765966795.3930733,0
1765966795.8933606,1765966795.893143,0
1765966796.3932457,1765966796.3931842,0
1765966796.8932178,1765966796.8931348,0
1765966797.393166,1765966797.3930988,0
1765966797.893174,1765966797.8931026,0
1765966798.3932292,1765966798.393161,0
1765966798.8931797,1765966798.893115,0
1765966799.3931787,1765966799.3931108,0
1765966799.8931828,1765966799.8931131,0
1765966800.3931823,1765966800.3931067,0
1765966800.8931715,1765966800.8931053,0
1765966801.3931632,1765966801.393094,0
1765966801.893219,1765966801.8931494,0
1765966802.39316,1765966802.3930979,0
1765966802.8932326,1765966802.8931189,0
1765966803.393087,1765966803.3930275,0
1765966803.8931189,1765966803.8930583,0
1765966804.3931851,1765966804.39312,0
1765966804.8931882,1765966804.8931062,0
1765966805.3931937,1765966805.3931296,0
1765966805.8932014,1765966805.8931303,0
1765966806.3932045,1765966806.3931282,0
1765966806.8932412,1765966806.8931324,0
1765966807.3931658,1765966807.3931,0
1765966807.8931937,1765966807.8931265,0
1765966808.3931644,1765966808.3931012,0
1765966808.8931894,1765966808.8931217,0
1765966809.3931658,1765966809.3931005,0
1765966809.8931608,1765966809.8931053,0
1765966810.393202,1765966810.3931384,0
1765966810.8932273,1765966810.893124,0
1765966811.3931596,1765966811.393099,0
1765966811.8931873,1765966811.893111,0
1765966812.3932009,1765966812.393139,0
1765966812.893188,1765966812.893118,0
1765966813.393141,1765966813.393076,0
1765966813.8931775,1765966813.8931131,0
1765966814.3931866,1765966814.3931215,0
1765966814.893231,1765966814.8931234,0
1765966815.3931847,1765966815.393117,0
1765966815.8931754,1765966815.893109,0
1765966816.3931022,1765966816.3930328,0
1765966816.8931806,1765966816.893115,0
1765966817.3931692,1765966817.3931043,0
1765966817.8931825,1765966817.8931167,0
1765966818.3931787,1765966818.39311,0
1765966818.893229,1765966818.8931196,0
1765966819.393166,1765966819.3930974,0
1765966819.8931878,1765966819.893122,0
1765966820.3929374,1765966820.392884,0
1765966820.8932436,1765966820.8931825,0
1765966821.3934336,1765966821.393202,0
1765966821.8931935,1765966821.8931289,0
1765966822.393148,1765966822.3930914,0
1765966822.8931131,1765966822.8930519,0
1765966823.3931868,1765966823.3931267,0
1765966823.893203,1765966823.8931353,0
1765966824.393246,1765966824.393179,0
1765966824.8932066,1765966824.8931346,0
1765966825.3931599,1765966825.3930943,0
1765966825.8931968,1765966825.8931289,0
1765966826.393208,1765966826.3931396,0
1765966826.8932216,1765966826.8931258,0
1765966827.3931751,1765966827.3931084,0
1765966827.8931634,1765966827.8930871,0
1765966828.393131,1765966828.3930707,0
1765966828.893179,1765966828.8931148,0
1765966829.3934982,1765966829.3931677,0
1765966829.8931787,1765966829.89311,0
1765966830.3932004,1765966830.3931332,0
1765966830.8931832,1765966830.8931167,0
1765966831.3933182,1765966831.3931284,0
1765966831.8932207,1765966831.8931506,0
1765966832.3932564,1765966832.3931832,0
1765966832.8932056,1765966832.8931415,0
1765966833.3931534,1765966833.3930795,0
1765966833.8932183,1765966833.8931534,0
1765966834.3931727,1765966834.3930964,0
1765966834.893071,1765966834.8929994,0
1765966835.39319,1765966835.393125,0
1765966835.8931742,1765966835.8931084,0
1765966836.3932343,1765966836.393168,0
1765966836.8931913,1765966836.8931217,0
1765966837.3932135,1765966837.3931441,0
1765966837.8931563,1765966837.8930933,0
1765966838.3932192,1765966838.3931549,0
1765966838.893245,1765966838.893137,0
1765966839.3934042,1765966839.393158,0
1765966839.8932617,1765966839.893166,0
1765966840.3931828,1765966840.3931184,0
1765966840.8931236,1765966840.8930616,0
1765966841.393156,1765966841.3930926,0
1765966841.8931835,1765966841.893118,0
1765966842.3932304,1765966842.393161,0
1765966842.8932257,1765966842.8931575,0
1765966843.393195,1765966843.3931296,0
1765966843.8932264,1765966843.893145,0
1765966844.3931978,1765966844.3931255,0
1765966844.893195,1765966844.8931282,0
1765966845.3932102,1765966845.393142,0
1765966845.8931909,1765966845.8931234,0
1765966846.393221,1765966846.3931515,0
1765966846.893116,1765966846.8930547,0
1765966847.3931239,1765966847.3930633,0
1765966847.8931985,1765966847.89313,0
1765966848.3932416,1765966848.3931723,0
1765966848.893177,1765966848.8931115,0
1765966849.3931818,1765966849.39312,0
1765966849.89319,1765966849.8931196,0
1765966850.3932323,1765966850.3931634,0
1765966850.8932412,1765966850.8931327,0
1765966851.393234,1765966851.3931732,0
1765966851.893196,1765966851.8931274,0
1765966852.3931952,1765966852.3931277,0
1765966852.8932083,1765966852.8931394,0
1765966853.3932219,1765966853.3931556,0
1765966853.893199,1765966853.8931348,0
1765966854.3935518,1765966854.3932366,0
1765966854.893173,1765966854.8931072,0
1765966855.3931768,1765966855.3931108,0
1765966855.8931649,1765966855.893096,0
1765966856.3932238,1765966856.3931577,0
1765966856.8931916,1765966856.893127,0
1765966857.3933418,1765966857.3931208,0
1765966857.8931882,1765966857.8931231,0
1765966858.3931947,1765966858.393127,0
1765966858.893291,1765966858.8931768,0
1765966859.3931744,1765966859.393086,0
1765966859.8931212,1765966859.8930557,0
1765966860.3932025,1765966860.3931365,0
1765966860.8931835,1765966860.8931205,0
