log_time_s,publish_time_s,data
1765972507.401065,1765972507.4009414,0.03226208686828613
1765972515.4010565,1765972515.4009278,0.09117722511291504
1765972524.400984,1765972524.4008737,0.027795791625976562
1765972535.4010465,1765972535.4009306,0.07634520530700684
1765972546.4010391,1765972546.4009242,0.0029926300048828125
1765972560.4009914,1765972560.4008837,0.04559040069580078
1765972567.4010444,1765972567.4009254,0.024611234664916992
1765972576.4010518,1765972576.4009297,0.019671916961669922
1765972588.4010684,1765972588.4009461,0.07835674285888672
1765972595.4011166,1765972595.4009893,0.06152176856994629
1765972601.401067,1765972601.4009492,0.05553841590881348
