log_time_s,publish_time_s,data
1765972485.226933,1765972485.226802,2
1765972485.9942188,1765972485.9940453,3
1765972487.9942791,1765972487.994097,4
1765972489.9942229,1765972489.9940586,5
1765972491.9947755,1765972491.9946039,6
1765972493.9943922,1765972493.9942033,7
1765972495.9956758,1765972495.9955142,8
1765972509.9946163,1765972509.9944537,9
1765972511.995466,1765972511.9953265,10
1765972513.995061,1765972513.994908,11
1765972515.9948869,1765972515.9947827,12
1765972517.9943614,1765972517.994195,13
1765972519.9943922,1765972519.9941993,14
1765972521.9937854,1765972521.9936152,15
1765972523.9945176,1765972523.994345,16
1765972525.993801,1765972525.9936268,17
1765972527.9946632,1765972527.9944968,18
1765972529.9936204,1765972529.9934382,19
1765972531.9944553,1765972531.9942784,20
1765972533.9939396,1765972533.9937732,21
1765972535.9945798,1765972535.9944081,22
1765972537.9943283,1765972537.994133,23
1765972539.994455,1765972539.9942765,24
1765972541.9938653,1765972541.9937284,25
1765972543.9941254,1765972543.993973,26
1765972545.9942083,1765972545.9940634,27
1765972547.995196,1765972547.995051,28
1765972549.9941442,1765972549.9940002,29
1765972551.9948735,1765972551.9947267,30
1765972553.9937527,1765972553.993611,31
1765972555.9945314,1765972555.9943824,32
1765972557.9944706,1765972557.9943242,33
1765972559.9953747,1765972559.9952383,34
1765972561.994402,1765972561.9942486,35
1765972563.9937828,1765972563.993632,36
1765972565.993892,1765972565.9937463,37
1765972567.9947684,1765972567.9946206,38
1765972569.9938684,1765972569.993712,39
1765972571.9941387,1765972571.9939706,40
1765972573.9936707,1765972573.9935067,41
