"log_time_s","publish_time_s","data"
"1765972332.6161208","1765972332.616006","0"
"1765972333.6161056","1765972333.6159728","0"
"1765972334.6160748","1765972334.6159444","0"
"1765972335.6160777","1765972335.615939","0"
"1765972336.6160796","1765972336.6159565","0"
"1765972337.6160748","1765972337.615943","0"
"1765972338.616078","1765972338.6159346","0"
"1765972339.616078","1765972339.6159477","0"
"1765972340.6161256","1765972340.6159902","0"
"1765972341.616087","1765972341.6159434","0"
"1765972342.6160748","1765972342.6159441","0"
"1765972343.6160665","1765972343.615922","0"
"1765972344.6160793","1765972344.6159444","0"
"1765972345.6160853","1765972345.615953","0"
"1765972346.6160796","1765972346.6159527","0"
"1765972347.616096","1765972347.6159508","0"
"1765972348.6160927","1765972348.6159608","0"
"1765972349.6160858","1765972349.6159608","0"
"1765972350.6160686","1765972350.615932","0"
"1765972351.616062","1765972351.6159382","0"
"1765972352.6160793","1765972352.615953","0"
"1765972353.616094","1765972353.6159458","0"
"1765972354.6161056","1765972354.615974","0"
"1765972355.616097","1765972355.615962","0"
"1765972356.6160853","1765972356.6159408","0"
"1765972357.6160815","1765972357.615954","0"
"1765972358.6161025","1765972358.615968","0"
"1765972359.6160924","1765972359.615951","0"
"1765972360.6160839","1765972360.615951","0"
"1765972361.6160975","1765972361.6159604","0"
"1765972362.6160953","1765972362.6159477","0"
"1765972363.6160874","1765972363.615952","0"
"1765972364.616049","1765972364.6159234","0"
"1765972365.6160812","1765972365.6159425","0"
"1765972366.6160903","1765972366.6159651","0"
"1765972367.6160812","1765972367.6159565","0"
"1765972368.6160765","1765972368.6159363","0"
"1765972369.6160831","1765972369.6159558","0"
"1765972370.6161132","1765972370.6159787","0"
"1765972371.616087","1765972371.615949","22"
"1765972372.6160796","1765972372.6159499","200"
"1765972373.6160865","1765972373.6159568","375"
"1765972374.6160789","1765972374.6159365","403"
"1765972375.6160817","1765972375.6159575","402"
"1765972376.616082","1765972376.615953","384"
"1765972377.6160977","1765972377.6159532","402"
"1765972378.6160583","1765972378.6159394","400"
"1765972379.6160805","1765972379.6159527","401"
"1765972380.6160855","1765972380.6159432","416"
"1765972381.6160917","1765972381.6159623","414"
"1765972382.6161072","1765972382.615976","332"
"1765972383.6160917","1765972383.6159503","82"
"1765972384.6160743","1765972384.6159506","65"
"1765972385.616062","1765972385.615931","164"
"1765972386.6161315","1765972386.6159837","150"
"1765972387.6160855","1765972387.6159563","0"
"1765972388.6160927","1765972388.6159565","0"
"1765972389.6160984","1765972389.6159472","0"
"1765972390.6160836","1765972390.615959","0"
"1765972391.6160672","1765972391.6159353","0"
"1765972392.6161034","1765972392.6159544","119"
"1765972393.616097","1765972393.6159568","275"
"1765972394.6161225","1765972394.6159916","49"
"1765972395.616096","1765972395.6159482","29"
"1765972396.61609","1765972396.615962","53"
"1765972397.6161013","1765972397.615964","-75"
"1765972398.6160786","1765972398.6159317","-34"
"1765972399.6160803","1765972399.615952","5"
"1765972400.6160955","1765972400.6159694","61"
"1765972401.6161065","1765972401.6159673","47"
"1765972402.6161191","1765972402.615986","37"
"1765972403.6161108","1765972403.6159601","94"
"1765972404.616076","1765972404.6159334","236"
"1765972405.6161003","1765972405.61597","266"
"1765972406.6160986","1765972406.6159735","342"
"1765972407.6161034","1765972407.6159616","411"
"1765972408.6160924","1765972408.6159587","365"
