"log_time_s","publish_time_s","data"
"1765972332.6161506","1765972332.616108","0"
"1765972333.616138","1765972333.6160886","0"
"1765972334.616107","1765972334.6160648","0"
"1765972335.6161206","1765972335.6160588","0"
"1765972336.6161115","1765972336.6160674","0"
"1765972337.6161075","1765972337.6160622","0"
"1765972338.6161113","1765972338.616053","0"
"1765972339.61611","1765972339.6160607","0"
"1765972340.6161602","1765972340.6161082","0"
"1765972341.6161215","1765972341.6160653","0"
"1765972342.616109","1765972342.616056","0"
"1765972343.6161017","1765972343.616028","0"
"1765972344.6161103","1765972344.616059","0"
"1765972345.6161196","1765972345.6160645","0"
"1765972346.6161094","1765972346.6160681","0"
"1765972347.6161296","1765972347.6160724","0"
"1765972348.616126","1765972348.6160755","0"
"1765972349.6161168","1765972349.6160758","0"
"1765972350.616101","1765972350.616048","0"
"1765972351.6160915","1765972351.6160493","0"
"1765972352.6161113","1765972352.616067","0"
"1765972353.6161275","1765972353.616071","0"
"1765972354.616136","1765972354.616085","0"
"1765972355.6161294","1765972355.616078","0"
"1765972356.6161184","1765972356.6160612","0"
"1765972357.616113","1765972357.6160655","0"
"1765972358.6161342","1765972358.6160898","0"
"1765972359.6161249","1765972359.616072","0"
"1765972360.6161182","1765972360.6160636","0"
"1765972361.6161277","1765972361.6160812","0"
"1765972362.6161296","1765972362.6160717","0"
"1765972363.6161182","1765972363.616061","0"
"1765972364.616099","1765972364.6160362","0"
"1765972365.6161156","1765972365.6160579","0"
"1765972366.6161234","1765972366.6160746","0"
"1765972367.61611","1765972367.6160696","0"
"1765972368.6161094","1765972368.616056","0"
"1765972369.6161137","1765972369.6160676","0"
"1765972370.6161435","1765972370.616099","0"
"1765972371.6161165","1765972371.6160643","21"
"1765972372.6161115","1765972372.6160629","164"
"1765972373.6161156","1765972373.6160705","344"
"1765972374.6161125","1765972374.6160593","397"
"1765972375.6161144","1765972375.6160693","395"
"1765972376.6161149","1765972376.6160684","409"
"1765972377.6161287","1765972377.6160738","397"
"1765972378.6160889","1765972378.6160505","394"
"1765972379.6161118","1765972379.6160655","395"
"1765972380.6161177","1765972380.6160626","375"
"1765972381.616122","1765972381.6160738","379"
"1765972382.6161387","1765972382.6160924","398"
"1765972383.6161227","1765972383.6160681","80"
"1765972384.6161048","1765972384.6160574","65"
"1765972385.6160927","1765972385.6160502","162"
"1765972386.6161644","1765972386.616106","146"
"1765972387.6161158","1765972387.616067","1"
"1765972388.6161242","1765972388.616072","0"
"1765972389.616131","1765972389.6160712","0"
"1765972390.6161134","1765972390.6160684","0"
"1765972391.6160986","1765972391.6160486","1"
"1765972392.6161346","1765972392.6160755","125"
