log_time_s,publish_time_s,data
1765972730.7859006,1765972730.7857578,1
1765972739.7085536,1765972739.7084222,0
1765972749.271197,1765972749.2710683,0
1765972759.8365626,1765972759.8364134,0
1765972768.4636452,1765972768.4635236,1
1765972780.116981,1765972780.1168566,0
1765972794.1970158,1765972794.1968787,1
1765972809.2263637,1765972809.2262158,0
1765972816.8892832,1765972816.8891318,0
1765972831.4875612,1765972831.487432,0
1765972846.919289,1765972846.91916,0
1765972852.6261785,1765972852.6260355,0
1765972862.1728516,1765972862.172722,0
1765972870.6368349,1765972870.6367242,0
1765972884.620784,1765972884.6206605,1
1765972891.7736785,1765972891.7735708,0
1765972898.0244052,1765972898.0242877,0
1765972907.699039,1765972907.698917,1
1765972920.8350792,1765972920.834964,0
1765972931.2005002,1765972931.2003996,0
1765972943.943106,1765972943.942962,0
1765972955.4856,1765972955.4854739,0
1765972967.220926,1765972967.220805,0
1765972979.418762,1765972979.4186373,0
1765972987.901646,1765972987.9015105,0
1765973003.0697172,1765973003.069556,1
1765973014.9043512,1765973014.9041972,1
1765973021.592299,1765973021.5921776,0
1765973035.0237453,1765973035.0236163,0
1765973045.932853,1765973045.932715,0
1765973054.1301234,1765973054.1299934,1
1765973060.1620924,1765973060.1619914,0
1765973072.204805,1765973072.2046885,0
1765973081.3820744,1765973081.3819654,0
1765973095.4621005,1765973095.4619744,0
1765973108.8807473,1765973108.8806121,0
1765973115.1954474,1765973115.1953235,0
1765973121.7302396,1765973121.7301223,1
1765973131.3269649,1765973131.3268485,0
1765973144.767041,1765973144.7669086,0
1765973151.028387,1765973151.0282412,0
1765973165.2790325,1765973165.2788703,0
1765973174.9803696,1765973174.9802163,1
1765973189.289663,1765973189.289526,1
1765973200.4523318,1765973200.4522023,0
1765973207.9243836,1765973207.924232,0
1765973220.8739765,1765973220.873863,0
1765973234.4150639,1765973234.4148872,0
1765973245.0283918,1765973245.0282438,0
1765973256.6017406,1765973256.60162,1
1765973262.158997,1765973262.1588962,1
1765973271.967004,1765973271.9668746,0
