log_time_s,publish_time_s,data
1765972703.3340666,1765972703.3340297,0
1765972704.3340368,1765972704.3339932,0
1765972705.3340497,1765972705.3340058,0
1765972706.3339992,1765972706.3339572,0
1765972707.3340101,1765972707.3339572,0
1765972708.3340359,1765972708.333989,0
1765972709.334024,1765972709.333977,0
1765972710.3340182,1765972710.3339658,0
1765972711.3340287,1765972711.3339903,0
1765972712.3340352,1765972712.3339918,0
1765972713.3340354,1765972713.3339918,0
1765972714.3340282,1765972714.3339882,0
1765972715.3340626,1765972715.3340101,0
1765972716.3340104,1765972716.3339658,0
1765972717.334054,1765972717.3340127,0
1765972718.33403,1765972718.3339818,0
1765972719.3340054,1765972719.3339612,0
1765972720.3340454,1765972720.3340008,0
1765972721.3340049,1765972721.3339598,0
1765972722.334011,1765972722.3339677,0
1765972723.3340292,1765972723.3339846,0
1765972724.3340497,1765972724.334004,0
1765972725.3340313,1765972725.333985,0
1765972726.334049,1765972726.3340106,0
1765972727.3340569,1765972727.3340116,0
1765972728.333995,1765972728.3339486,0
1765972729.3340223,1765972729.3339837,0
1765972730.3340447,1765972730.3339925,0
1765972731.3340392,1765972731.333998,0
1765972732.3340862,1765972732.3340313,0
1765972733.3340337,1765972733.333978,0
1765972734.3340487,1765972734.334003,0
1765972735.3339794,1765972735.333945,0
1765972736.334013,1765972736.3339682,0
1765972737.3340342,1765972737.3339899,0
1765972738.3340464,1765972738.334,0
1765972739.3340333,1765972739.3339849,5
1765972740.3340583,1765972740.3340116,69
1765972741.3340566,1765972741.3340132,201
1765972742.3339925,1765972742.3339436,210
1765972743.3340845,1765972743.3340464,212
1765972744.3340921,1765972744.3340533,210
1765972745.334089,1765972745.3339887,213
1765972746.3340077,1765972746.3339567,210
1765972747.3340776,1765972747.334036,58
1765972748.3340514,1765972748.334001,-51
1765972749.334059,1765972749.3340106,-45
1765972750.334088,1765972750.3340435,-8
1765972751.3340347,1765972751.3340006,11
1765972752.3340154,1765972752.3339856,72
1765972753.334081,1765972753.3340392,33
1765972754.334023,1765972754.3339455,100
1765972755.33409,1765972755.3339996,-89
1765972756.3340335,1765972756.3339887,41
1765972757.334017,1765972757.333975,124
1765972758.3340392,1765972758.3339915,94
1765972759.3340752,1765972759.3340318,38
1765972760.3340738,1765972760.3340378,56
1765972761.3340662,1765972761.3340216,22
1765972762.3340755,1765972762.334027,41
1765972763.334025,1765972763.3339908,-70
1765972764.3340657,1765972764.3340201,31
1765972765.3340611,1765972765.3340173,32
1765972766.3340006,1765972766.3339632,0
1765972767.3340783,1765972767.3340263,0
1765972768.3340862,1765972768.3340409,0
1765972769.3340354,1765972769.333998,0
1765972770.3340442,1765972770.3340042,0
1765972771.3340533,1765972771.3340096,0
1765972772.334077,1765972772.334032,33
1765972773.3340805,1765972773.3340333,-21
1765972774.3339868,1765972774.3339472,2
1765972775.334031,1765972775.3339963,0
1765972776.3340387,1765972776.3339865,87
1765972777.33405,1765972777.3340008,-29
