"log_time_s","publish_time_s","file","function","level","line","msg","name"
"1765972702.6449351","1765972702.6449037","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/name_movil'","rosbag2_recorder"
"1765972702.6462057","1765972702.64618","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/tactil_izq'","rosbag2_recorder"
"1765972702.6475282","1765972702.6474996","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/modo_exp'","rosbag2_recorder"
"1765972702.6487105","1765972702.6486878","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/tipo_exp'","rosbag2_recorder"
"1765972702.6500623","1765972702.650039","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/events/write_split'","rosbag2_recorder"
"1765972702.6516292","1765972702.6515994","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/diff_time'","rosbag2_recorder"
"1765972702.6545024","1765972702.6544697","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/parameter_events'","rosbag2_recorder"
"1765972702.655823","1765972702.6557732","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/Ejecucion'","rosbag2_recorder"
"1765972702.657092","1765972702.6570563","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/Attended'","rosbag2_recorder"
"1765972702.6573262","1765972702.6573048","./src/rosbag2_transport/recorder.cpp","record","20","365","Recording...","rosbag2_recorder"
"1765972702.7329934","1765972700.4578004","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","secuencia_conexion","20","31","Conectado al Arduino por /dev/Joystick","Joystick"
"1765972702.7614267","1765972702.7613862","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/right_wheel_steps'","rosbag2_recorder"
