log_time_s,publish_time_s,data
1765972703.1351063,1765972703.1349983,0
1765972703.6351206,1765972703.6350148,0
1765972704.1351287,1765972704.134995,0
1765972704.6351392,1765972704.6350124,0
1765972705.1351104,1765972705.1349723,0
1765972705.6351407,1765972705.635007,0
1765972706.1351311,1765972706.1349921,0
1765972706.6351264,1765972706.6349926,0
1765972707.13511,1765972707.1349785,0
1765972707.635152,1765972707.6350234,0
1765972708.1351452,1765972708.135009,0
1765972708.635147,1765972708.6350038,0
1765972709.1351442,1765972709.1349971,0
1765972709.6351454,1765972709.635006,0
1765972710.1351593,1765972710.13502,0
1765972710.63516,1765972710.6350272,0
1765972711.1351469,1765972711.134994,0
1765972711.6351688,1765972711.635033,0
1765972712.1351585,1765972712.13502,0
1765972712.6351411,1765972712.6350079,0
1765972713.1351497,1765972713.135011,0
1765972713.6351383,1765972713.6350155,0
1765972714.1351128,1765972714.1349807,0
1765972714.6351733,1765972714.635034,0
1765972715.1351247,1765972715.1349883,0
1765972715.6351428,1765972715.6350045,0
1765972716.135148,1765972716.1349885,0
1765972716.635151,1765972716.6350017,0
1765972717.1351058,1765972717.1349654,0
1765972717.6351519,1765972717.6349988,0
1765972718.1351407,1765972718.1350033,0
1765972718.6351182,1765972718.634977,0
1765972719.1351058,1765972719.134969,0
1765972719.6351423,1765972719.6350093,0
1765972720.1351192,1765972720.1349804,0
1765972720.6351163,1765972720.6349828,0
1765972721.1350896,1765972721.1349578,0
1765972721.6351247,1765972721.6349828,0
1765972722.1351216,1765972722.1349862,0
1765972722.6351175,1765972722.6349962,0
1765972723.1351018,1765972723.1349642,0
1765972723.635151,1765972723.6350129,0
1765972724.135121,1765972724.1349885,0
1765972724.6351259,1765972724.634981,0
1765972725.135113,1765972725.134967,0
1765972725.6351497,1765972725.6350095,0
1765972726.1351337,1765972726.1349921,0
1765972726.6351635,1765972726.6350243,0
1765972727.1351414,1765972727.1349976,0
1765972727.6351283,1765972727.6349945,0
1765972728.1351304,1765972728.1349971,0
1765972728.6351793,1765972728.6350417,0
1765972729.135128,1765972729.134994,0
1765972729.6352031,1765972729.6350596,0
1765972730.1351461,1765972730.135006,0
1765972730.6351662,1765972730.6350193,0
1765972731.1351259,1765972731.134993,0
1765972731.6351573,1765972731.6350343,0
1765972732.1351452,1765972732.1350095,0
1765972732.6351686,1765972732.6350281,0
1765972733.1351323,1765972733.1349905,0
1765972733.635176,1765972733.6350315,0
1765972734.135135,1765972734.1350205,0
1765972734.6351693,1765972734.6350489,0
1765972735.1351345,1765972735.1349976,0
1765972735.6351626,1765972735.6350305,0
1765972736.1351728,1765972736.1350143,0
1765972736.635138,1765972736.6349802,0
1765972737.135104,1765972737.1349728,0
1765972737.6351287,1765972737.6350079,0
1765972738.135113,1765972738.1349773,0
1765972738.635139,1765972738.634996,0
1765972739.1351175,1765972739.1349814,0
1765972739.6351373,1765972739.6349916,0
1765972740.135155,1765972740.1350212,0
1765972740.6351454,1765972740.6350198,0
1765972741.135115,1765972741.1349752,0
1765972741.6351385,1765972741.6350148,0
1765972742.1351373,1765972742.1350005,0
1765972742.635117,1765972742.6349773,0
1765972743.1351185,1765972743.1349862,0
1765972743.635134,1765972743.6350024,0
1765972744.1351275,1765972744.13499,0
1765972744.635141,1765972744.6350062,0
1765972745.135114,1765972745.1349893,0
1765972745.6351357,1765972745.6349945,0
1765972746.135146,1765972746.1350183,0
1765972746.6351612,1765972746.6350324,0
1765972747.1351407,1765972747.1350152,0
1765972747.635189,1765972747.6350486,0
1765972748.1351728,1765972748.1350358,0
1765972748.6351762,1765972748.6350334,0
1765972749.1351547,1765972749.1350133,0
1765972749.6351914,1765972749.635063,0
1765972750.1351347,1765972750.1350052,0
1765972750.6351962,1765972750.6350486,0
1765972751.1351607,1765972751.1350307,0
1765972751.6351724,1765972751.6350288,0
1765972752.1351724,1765972752.1350374,0
1765972752.6351461,1765972752.635023,0
1765972753.1351607,1765972753.135031,0
1765972753.635187,1765972753.6350513,0
1765972754.1351807,1765972754.135043,0
1765972754.6351588,1765972754.6350157,0
1765972755.1351724,1765972755.1350398,0
1765972755.6352,1765972755.6350648,0
1765972756.135197,1765972756.1350348,0
1765972756.6352224,1765972756.6350558,0
1765972757.1351962,1765972757.135043,0
1765972757.6352189,1765972757.6350427,0
1765972758.1352,1765972758.1350574,0
1765972758.635196,1765972758.6350658,0
1765972759.1351712,1765972759.1350336,0
1765972759.6352015,1765972759.6350625,0
1765972760.1352115,1765972760.135076,0
1765972760.6352081,1765972760.635063,0
1765972761.1351726,1765972761.1350384,0
1765972761.6352036,1765972761.6350784,0
1765972762.135186,1765972762.1350496,0
1765972762.635204,1765972762.6350627,0
1765972763.1350958,1765972763.1349816,0
1765972763.6351671,1765972763.6350274,0
1765972764.135147,1765972764.1350136,0
1765972764.6352026,1765972764.635071,0
1765972765.135199,1765972765.1350489,0
1765972765.6352212,1765972765.6350813,0
1765972766.1352186,1765972766.1350334,0
1765972766.6352053,1765972766.6350198,0
1765972767.1351438,1765972767.135019,0
1765972767.635168,1765972767.635044,0
1765972768.1352046,1765972768.1350656,0
1765972768.6351972,1765972768.635049,0
1765972769.1351783,1765972769.1350377,0
