log_time_s,publish_time_s,data
1765973627.740007,1765973627.739923,0
1765973628.7400258,1765973628.7399123,0
1765973629.7400289,1765973629.7399104,0
1765973630.7400036,1765973630.7398927,0
1765973631.740014,1765973631.739913,0
1765973632.7400045,1765973632.7398806,0
1765973633.7399716,1765973633.7398589,0
1765973634.7399812,1765973634.7398584,0
1765973635.740022,1765973635.7399058,0
1765973636.7400079,1765973636.7398968,0
1765973637.740003,1765973637.7399063,0
1765973638.7400057,1765973638.739903,0
1765973639.740011,1765973639.739905,0
1765973640.7400448,1765973640.7399168,0
1765973641.739965,1765973641.739848,0
1765973642.7399962,1765973642.7398925,0
1765973643.739996,1765973643.73989,0
1765973644.7400122,1765973644.7399058,0
1765973645.7399828,1765973645.7398763,0
1765973646.7400076,1765973646.7399027,0
1765973647.7399933,1765973647.7398722,0
1765973648.7400424,1765973648.7399302,0
1765973649.7399766,1765973649.7398722,0
1765973650.7400064,1765973650.7398975,0
1765973651.7400115,1765973651.7398856,0
1765973652.7399645,1765973652.7398624,0
1765973653.7399857,1765973653.7398806,0
1765973654.7400289,1765973654.7399073,0
1765973655.7399824,1765973655.7398753,0
1765973656.7400682,1765973656.7399333,0
1765973657.7399752,1765973657.7398686,0
1765973658.7399843,1765973658.739875,0
1765973659.7399795,1765973659.7398639,0
1765973660.7399373,1765973660.7398133,0
1765973661.7399924,1765973661.739867,4
1765973662.7399557,1765973662.7398403,30
1765973663.7399955,1765973663.7398827,5
1765973664.7399936,1765973664.7398703,108
1765973665.7400305,1765973665.7398894,28
1765973666.740021,1765973666.739888,79
1765973667.7399797,1765973667.7398736,258
1765973668.7399752,1765973668.7398603,297
1765973669.7399673,1765973669.739847,296
1765973670.7399666,1765973670.7398603,280
1765973671.7399905,1765973671.7398677,328
1765973672.7399619,1765973672.7398407,277
1765973673.739985,1765973673.7398705,306
1765973674.7400248,1765973674.7398965,302
1765973675.739985,1765973675.7398677,294
1765973676.739994,1765973676.739869,298
1765973677.7399979,1765973677.7398677,304
1765973678.7400134,1765973678.7398927,302
1765973679.7399912,1765973679.7398713,296
1765973680.7399824,1765973680.7398694,286
1765973681.739985,1765973681.7398758,309
1765973682.7400007,1765973682.7398877,323
1765973683.7399986,1765973683.7398815,293
1765973684.740029,1765973684.7399104,306
1765973685.73993,1765973685.7398329,306
1765973686.7399855,1765973686.7398796,309
1765973687.7399864,1765973687.7398837,303
1765973688.7399783,1765973688.739875,303
1765973689.7399788,1765973689.7398767,302
1765973690.7399929,1765973690.7398784,277
1765973691.7399828,1765973691.739881,303
1765973692.7400012,1765973692.7398753,314
1765973693.740007,1765973693.739883,272
1765973694.740066,1765973694.739955,304
1765973695.7399843,1765973695.7398725,300
1765973696.7400155,1765973696.7399025,285
1765973697.7400377,1765973697.7399228,322
1765973698.7400308,1765973698.7399056,311
1765973699.7400112,1765973699.7399049,119
1765973700.740027,1765973700.7399232,109
1765973701.7400315,1765973701.739924,161
1765973702.739972,1765973702.7398748,156
1765973703.740057,1765973703.7399192,152
1765973704.7400377,1765973704.7399263,24
1765973705.74011,1765973705.7399938,-36
1765973706.7400293,1765973706.7399266,-15
1765973707.7400446,1765973707.73994,1
1765973708.7400634,1765973708.739945,3
1765973709.7400594,1765973709.739951,6
1765973710.7401314,1765973710.740004,30
1765973711.740038,1765973711.7399266,120
1765973712.7400753,1765973712.739965,267
1765973713.740042,1765973713.7399278,313
1765973714.740075,1765973714.739951,315
1765973715.7400377,1765973715.7399206,289
1765973716.7400744,1765973716.7399492,299
1765973717.7401004,1765973717.739977,303
1765973718.7400918,1765973718.7399802,299
