log_time_s,publish_time_s,file,function,level,line,msg,name
1765973626.9606755,1765973626.9606507,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/rosout',rosbag2_recorder
1765973626.9630492,1765973626.9630213,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/events/write_split',rosbag2_recorder
1765973626.9632854,1765973626.9632528,./src/rosbag2_transport/recorder.cpp,record,20,365,Recording...,rosbag2_recorder
1765973627.0302558,1765973626.94366,./src/rosbag2_transport/recorder.cpp,RecorderImpl,20,190,Press SPACE for pausing/resuming,rosbag2_recorder
1765973627.0303586,1765973626.9567723,./src/rosbag2_transport/recorder.cpp,record,20,353,Listening for topics...,rosbag2_recorder
1765973627.0303636,1765973626.957316,./src/rosbag2_transport/recorder.cpp,event_publisher_thread_main,20,371,Event publisher thread: Starting,rosbag2_recorder
1765973627.0684586,1765973627.0684266,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/Attended',rosbag2_recorder
1765973627.071134,1765973627.0711026,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/right_wheel_steps',rosbag2_recorder
1765973627.073293,1765973627.0732465,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/frame',rosbag2_recorder
1765973627.075347,1765973627.0753171,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/tactil_der',rosbag2_recorder
1765973627.0776641,1765973627.0776324,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/random_time',rosbag2_recorder
1765973627.0792491,1765973627.079218,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/pot_esp32',rosbag2_recorder
1765973627.0819657,1765973627.081938,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/name_movil',rosbag2_recorder
1765973627.083759,1765973627.0837243,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/left_wheel_steps',rosbag2_recorder
1765973627.0856736,1765973627.0856395,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/diff_time',rosbag2_recorder
1765973627.0880413,1765973627.0880177,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/Ejecucion',rosbag2_recorder
1765973627.0896196,1765973627.089587,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/modo_exp',rosbag2_recorder
1765973627.0919218,1765973627.09183,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/tactil_izq',rosbag2_recorder
1765973627.094172,1765973627.0941315,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/tipo_exp',rosbag2_recorder
1765973627.117916,1765973624.690771,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py,secuencia_conexion,20,31,Conectado al Arduino por /dev/Joystick,Joystick
1765973627.1318638,1765973623.7691941,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/esp32Node.py,timer_callback,20,41,Dato publicado Pot: 5,sensorHallyPot
1765973627.133022,1765973622.7111285,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py,jb_callback,20,38,Comando Joystick Bluetooth: -2,JoystickBluetooth
1765973627.1976578,1765973627.1976242,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/jBnode',rosbag2_recorder
1765973627.5070856,1765973627.5070517,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/parameter_events',rosbag2_recorder
1765973645.29549,1765973645.2953446,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py,timer_callback,20,209,Dato publicado Nombre_Sujeto: MIGUELEAL,Movil
1765973648.2741954,1765973648.2733676,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py,timer_callback,20,215,Dato publicado Tipo Experimento: Experimento 1,Movil
1765973648.3025513,1765973648.3022988,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py,sus_function,20,166,Mensaje recibido: Experimento 1,ST
1765973648.303047,1765973648.3026168,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py,callback_subMovilTipo,20,95,Comando Movil Tipo: Experimento 1,mainNode
1765973650.0798032,1765973650.079712,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py,timer_callback,20,220,"Publicado: ""1""",ST
