"log_time_s","publish_time_s","data"
"1770635016.3854923","1770635016.3853736","0"
"1770635016.8854382","1770635016.8853161","0"
"1770635017.3854706","1770635017.3853102","0"
"1770635017.8854487","1770635017.8853211","0"
"1770635018.385481","1770635018.3853197","0"
"1770635018.885491","1770635018.8853333","0"
"1770635019.3854895","1770635019.3853416","0"
"1770635019.8854916","1770635019.8853304","0"
"1770635020.3854635","1770635020.3853016","0"
"1770635020.885459","1770635020.8853014","0"
"1770635021.3854759","1770635021.3853118","0"
"1770635021.8854754","1770635021.885314","0"
"1770635022.3854616","1770635022.3853073","0"
"1770635022.8854804","1770635022.8853178","0"
"1770635023.3854728","1770635023.3853097","0"
"1770635023.8854842","1770635023.8853228","0"
"1770635024.3855102","1770635024.3853366","0"
"1770635024.885453","1770635024.885302","0"
"1770635025.385437","1770635025.3852866","0"
"1770635025.8854737","1770635025.885316","0"
"1770635026.385462","1770635026.385306","0"
"1770635026.885473","1770635026.8853176","0"
"1770635027.3854907","1770635027.3853202","0"
"1770635027.8854716","1770635027.885316","0"
"1770635028.3854692","1770635028.385313","0"
"1770635028.8854716","1770635028.8853145","0"
"1770635029.3854735","1770635029.3853054","0"
"1770635029.8854663","1770635029.8853078","0"
"1770635030.3854625","1770635030.3853028","0"
"1770635030.8854785","1770635030.885322","0"
"1770635031.3854132","1770635031.3852634","0"
"1770635031.8854737","1770635031.885316","0"
"1770635032.3854837","1770635032.3853188","0"
"1770635032.8854687","1770635032.8853123","0"
"1770635033.3854446","1770635033.3852756","0"
"1770635033.8854718","1770635033.8853226","0"
"1770635034.3854694","1770635034.3853188","0"
"1770635034.8854587","1770635034.8853016","0"
"1770635035.3854995","1770635035.3853292","0"
"1770635035.8854604","1770635035.8853142","0"
"1770635036.3854613","1770635036.3852935","0"
"1770635036.8854506","1770635036.8852956","0"
"1770635037.385439","1770635037.38529","0"
"1770635037.885469","1770635037.8853004","0"
"1770635038.385472","1770635038.3852937","0"
"1770635038.8854282","1770635038.8852644","0"
"1770635039.385487","1770635039.3853195","0"
"1770635039.8854616","1770635039.8853052","0"
"1770635040.3854523","1770635040.385307","0"
"1770635040.8854797","1770635040.8853238","0"
"1770635041.3854709","1770635041.3853135","0"
"1770635041.8854752","1770635041.8853157","0"
"1770635042.3854725","1770635042.3853097","0"
"1770635042.8854883","1770635042.885321","0"
"1770635043.385434","1770635043.3852894","0"
"1770635043.8854728","1770635043.8853116","0"
"1770635044.3854766","1770635044.385309","0"
"1770635044.8854644","1770635044.885309","0"
"1770635045.385481","1770635045.3853147","0"
"1770635045.8854802","1770635045.8853242","0"
"1770635046.3854532","1770635046.38531","0"
