"log_time_s","publish_time_s","data"
"1773664125.823444","1773664125.8233554","9"
"1773664125.9237072","1773664125.9235106","0"
"1773664127.823615","1773664127.823523","6"
"1773664127.8737454","1773664127.8736577","0"
"1773664129.1736033","1773664129.1735172","10"
"1773664129.2237325","1773664129.2236397","3"
"1773664131.0235558","1773664131.0233734","12"
"1773664131.1238265","1773664131.1236365","0"
"1773664131.4737203","1773664131.4735427","10"
"1773664131.5736513","1773664131.5735612","3"
"1773664141.8236227","1773664141.8235319","12"
"1773664141.9235802","1773664141.923487","0"
"1773664142.4735029","1773664142.4733837","10"
"1773664142.8236928","1773664142.8235075","3"
"1773664144.1735778","1773664144.1734867","10"
"1773664144.6236918","1773664144.6235797","0"
"1773664145.5737596","1773664145.5736725","10"
"1773664145.673704","1773664145.6736183","3"
"1773664146.5234983","1773664146.523399","12"
"1773664146.6237488","1773664146.6235378","0"
"1773664172.123716","1773664172.123537","10"
"1773664172.1737928","1773664172.1736872","3"
"1773664175.423683","1773664175.4235053","12"
"1773664176.723674","1773664176.7235835","0"
"1773664178.4736118","1773664178.4735198","9"
"1773664178.5738816","1773664178.573696","0"
"1773664178.7219312","1773664178.7216454","5"
"1773664180.473637","1773664180.4734068","17"
"1773664180.573777","1773664180.5735025","0"
"1773664183.8237174","1773664183.823535","15"
"1773664183.9240253","1773664183.923894","5"
"1773664184.973592","1773664184.9735007","17"
"1773664185.0236635","1773664185.023573","0"
"1773664198.123643","1773664198.1235535","15"
"1773664198.2234895","1773664198.2233913","5"
"1773664199.723797","1773664199.7235985","17"
"1773664199.7737422","1773664199.773564","0"
"1773664202.0235603","1773664202.0233798","10"
"1773664202.0736747","1773664202.0735009","3"
"1773664204.323793","1773664204.3237038","10"
"1773664205.4236295","1773664205.4235358","3"
"1773664207.1737409","1773664207.1736233","10"
"1773664207.6236956","1773664207.6236053","0"
"1773664207.9236581","1773664207.9234545","10"
"1773664208.0737536","1773664208.0735683","3"
"1773664208.4741828","1773664208.4733515","12"
