"log_time_s","publish_time_s","data"
"1773664084.1335092","1773664084.1333349","CONNECTED"
"1773664085.5173702","1773664085.5171344","CONNECTED"
"1773664088.2940552","1773664088.2938979","CONNECTED"
"1773664093.2946732","1773664093.2945046","CONNECTED"
"1773664098.2942302","1773664098.2940705","CONNECTED"
"1773664103.2943559","1773664103.2941923","CONNECTED"
"1773664108.2954187","1773664108.2952652","CONNECTED"
"1773664113.2960267","1773664113.2958677","CONNECTED"
"1773664118.2956522","1773664118.2954957","CONNECTED"
"1773664122.2986982","1773664122.2986224","CONNECTED"
"1773664124.2949054","1773664124.294824","CONNECTED"
"1773664126.294846","1773664126.2946904","CONNECTED"
"1773664128.2949772","1773664128.2948236","CONNECTED"
"1773664130.2952282","1773664130.2945724","CONNECTED"
"1773664132.2964215","1773664132.2963457","CONNECTED"
"1773664134.2951858","1773664134.295126","CONNECTED"
"1773664136.2948396","1773664136.2946763","CONNECTED"
"1773664138.2948618","1773664138.294692","CONNECTED"
"1773664140.2944803","1773664140.294309","CONNECTED"
"1773664142.2952895","1773664142.2951276","CONNECTED"
"1773664144.2948577","1773664144.2947621","CONNECTED"
"1773664146.2948012","1773664146.2946496","CONNECTED"
"1773664148.294813","1773664148.2946868","CONNECTED"
"1773664153.2958012","1773664153.2955768","CONNECTED"
"1773664158.295567","1773664158.2954142","CONNECTED"
"1773664163.2954302","1773664163.2952652","CONNECTED"
"1773664168.2956178","1773664168.295425","CONNECTED"
"1773664173.2961645","1773664173.296","CONNECTED"
"1773664178.2956312","1773664178.2954617","CONNECTED"
"1773664183.296075","1773664183.2959137","CONNECTED"
"1773664188.2955737","1773664188.2954063","CONNECTED"
"1773664193.2958784","1773664193.2957168","CONNECTED"
"1773664196.2942927","1773664196.2941449","CONNECTED"
"1773664198.2943845","1773664198.2943075","CONNECTED"
"1773664200.294461","1773664200.294389","CONNECTED"
"1773664202.294428","1773664202.2943547","CONNECTED"
"1773664204.2947366","1773664204.2945774","CONNECTED"
"1773664206.2944822","1773664206.294307","CONNECTED"
"1773664208.293928","1773664208.2937615","CONNECTED"
"1773664210.2937014","1773664210.2935169","CONNECTED"
"1773664212.2934823","1773664212.2933018","CONNECTED"
"1773664214.292733","1773664214.2925775","CONNECTED"
"1773664216.2970262","1773664216.2968783","CONNECTED"
"1773664218.2935808","1773664218.2934022","CONNECTED"
"1773664220.293063","1773664220.2929895","CONNECTED"
"1773664222.2929022","1773664222.292692","CONNECTED"
"1773664224.2934058","1773664224.2933414","CONNECTED"
"1773664226.2938733","1773664226.2937963","CONNECTED"
"1773664228.2940996","1773664228.2940266","CONNECTED"
"1773664230.2943478","1773664230.2942617","CONNECTED"
"1773664232.2943342","1773664232.2939873","CONNECTED"
"1773664234.2951267","1773664234.2950604","CONNECTED"
"1773664236.2930255","1773664236.2928474","CONNECTED"
"1773664238.2944977","1773664238.294327","CONNECTED"
"1773664240.2947226","1773664240.294655","CONNECTED"
"1773664242.2941587","1773664242.2940834","CONNECTED"
"1773664244.2944531","1773664244.294379","CONNECTED"
"1773664246.2948043","1773664246.2947233","CONNECTED"
"1773664248.2946188","1773664248.2940218","CONNECTED"
"1773664250.293571","1773664250.2934017","CONNECTED"
"1773664252.2945058","1773664252.2942028","CONNECTED"
"1773664254.294301","1773664254.2941298","CONNECTED"
"1773664256.2934043","1773664256.293255","CONNECTED"
