"log_time_s","publish_time_s","data"
"1780308187.45566","1780308187.4555175","0"
"1780308198.3893723","1780308198.3892148","0"
"1780308210.2937527","1780308210.2936196","0"
"1780308218.2994146","1780308218.2992566","0"
"1780308228.6197047","1780308228.6195858","1"
"1780308237.286733","1780308237.286591","0"
"1780308252.3165329","1780308252.31637","0"
"1780308267.581055","1780308267.5809445","1"
"1780308282.8508332","1780308282.85069","0"
"1780308292.3392227","1780308292.3390355","1"
"1780308303.2142062","1780308303.2140696","0"
"1780308318.361325","1780308318.3612022","1"
"1780308326.9998655","1780308326.9996955","1"
"1780308335.7806082","1780308335.7804637","0"
"1780308350.090331","1780308350.0901763","0"
"1780308357.8754966","1780308357.8753629","0"
"1780308372.299019","1780308372.2988865","0"
"1780308385.355477","1780308385.3553329","0"
"1780308397.1691551","1780308397.1690066","1"
"1780308407.9694595","1780308407.969319","0"
"1780308421.783294","1780308421.7831411","0"
"1780308434.8165631","1780308434.8164163","0"
"1780308443.3252416","1780308443.3250945","0"
"1780308453.1923275","1780308453.192176","1"
