"log_time_s","publish_time_s","data"
"1780308180.5755982","1780308180.5754728","0"
"1780308181.5756218","1780308181.5754926","0"
"1780308182.5755997","1780308182.5754437","0"
"1780308183.5756001","1780308183.575465","0"
"1780308184.5756319","1780308184.5754519","0"
"1780308185.5757017","1780308185.5755072","0"
"1780308186.575588","1780308186.5754566","0"
"1780308187.57561","1780308187.5754676","0"
"1780308188.5755894","1780308188.5754461","0"
"1780308189.5756316","1780308189.5754812","0"
"1780308190.5756211","1780308190.5754793","0"
"1780308191.5756183","1780308191.5754685","0"
"1780308192.5755885","1780308192.5754437","0"
"1780308193.5755973","1780308193.575469","0"
"1780308194.5755818","1780308194.575441","0"
"1780308195.5755806","1780308195.5754511","0"
"1780308196.5755913","1780308196.575469","0"
"1780308197.575616","1780308197.5754795","0"
"1780308198.575577","1780308198.575448","0"
"1780308199.5755904","1780308199.5754642","0"
"1780308200.5756423","1780308200.5755045","0"
"1780308201.5756083","1780308201.5754654","0"
"1780308202.5756278","1780308202.575493","0"
"1780308203.5756006","1780308203.5754611","0"
"1780308204.5756185","1780308204.5754795","0"
"1780308205.5755758","1780308205.575448","0"
"1780308206.575618","1780308206.5754652","0"
"1780308207.5756538","1780308207.575508","0"
"1780308208.5756278","1780308208.5754874","0"
"1780308209.5758286","1780308209.5755985","0"
"1780308210.5756748","1780308210.575535","0"
"1780308211.575665","1780308211.5755274","0"
"1780308212.5756278","1780308212.5754886","0"
"1780308213.5756266","1780308213.575478","0"
"1780308214.5756185","1780308214.575502","0"
"1780308215.5756245","1780308215.575486","0"
"1780308216.5756795","1780308216.575543","0"
"1780308217.5756605","1780308217.57552","0"
"1780308218.5756607","1780308218.575515","0"
"1780308219.5756662","1780308219.5755215","0"
"1780308220.5756078","1780308220.5754743","0"
"1780308221.5756183","1780308221.5754688","0"
"1780308222.5756261","1780308222.5754826","0"
"1780308223.575607","1780308223.5754828","0"
"1780308224.5755894","1780308224.5754545","0"
"1780308225.5755832","1780308225.575453","0"
"1780308226.575619","1780308226.5754921","0"
"1780308227.5756269","1780308227.5754871","0"
"1780308228.575617","1780308228.5754573","0"
"1780308229.5755823","1780308229.575456","0"
"1780308230.5755842","1780308230.5754461","0"
"1780308231.5756135","1780308231.5754757","0"
"1780308232.575621","1780308232.5754886","0"
"1780308233.5755444","1780308233.5754158","0"
"1780308234.575596","1780308234.5754673","0"
"1780308235.5756269","1780308235.5754976","0"
"1780308236.5756733","1780308236.5755289","0"
"1780308237.5756805","1780308237.575534","0"
"1780308238.5756643","1780308238.5755315","0"
"1780308239.5756621","1780308239.5755186","0"
"1780308240.575648","1780308240.5755138","0"
"1780308241.575679","1780308241.5755517","0"
"1780308242.5756857","1780308242.57554","0"
"1780308243.5756116","1780308243.5754752","0"
"1780308244.5756538","1780308244.5755274","0"
"1780308245.575591","1780308245.5754502","0"
"1780308246.575635","1780308246.5755007","0"
"1780308247.5756655","1780308247.5755358","0"
"1780308248.5756207","1780308248.5754788","0"
"1780308249.5756686","1780308249.5755296","0"
"1780308250.5755734","1780308250.5754516","0"
"1780308251.5756354","1780308251.575489","0"
"1780308252.575639","1780308252.5754993","0"
"1780308253.575618","1780308253.5754852","0"
"1780308254.5756247","1780308254.575493","0"
"1780308255.5756435","1780308255.5754843","0"
"1780308256.5756392","1780308256.5754766","0"
"1780308257.5755837","1780308257.5754466","0"
"1780308258.5755844","1780308258.5754569","0"
"1780308259.5755615","1780308259.57543","0"
"1780308260.5756211","1780308260.575478","0"
"1780308261.5756347","1780308261.5754957","0"
"1780308262.575611","1780308262.5754712","0"
"1780308263.5755615","1780308263.57543","0"
"1780308264.575568","1780308264.5754447","0"
"1780308265.575584","1780308265.5754507","0"
"1780308266.5756211","1780308266.5754743","0"
"1780308267.5756032","1780308267.5754695","0"
"1780308268.575588","1780308268.5754588","0"
"1780308269.575603","1780308269.5754526","0"
"1780308270.5755913","1780308270.5754592","0"
"1780308271.5756202","1780308271.5754836","0"
"1780308272.575531","1780308272.575399","0"
"1780308273.5755785","1780308273.5754454","0"
"1780308274.5756218","1780308274.575486","0"
"1780308275.5756273","1780308275.5754893","0"
"1780308276.5756133","1780308276.575475","0"
"1780308277.5756223","1780308277.5754862","0"
"1780308278.5758605","1780308278.575718","0"
"1780308279.5757253","1780308279.5755775","0"
"1780308280.5757267","1780308280.5755863","0"
"1780308281.575654","1780308281.5755172","0"
"1780308282.5757427","1780308282.5755908","0"
"1780308283.5757818","1780308283.5756269","0"
"1780308284.5756016","1780308284.575466","0"
"1780308285.5755343","1780308285.5754004","0"
"1780308286.5757315","1780308286.575527","0"
"1780308287.5755901","1780308287.5754461","0"
"1780308288.5756168","1780308288.5754838","0"
"1780308289.5756564","1780308289.5755248","0"
"1780308290.575625","1780308290.575474","0"
"1780308291.5755837","1780308291.5754523","0"
"1780308292.5756133","1780308292.575476","0"
"1780308293.5756364","1780308293.5754972","0"
"1780308294.5756073","1780308294.5754895","0"
"1780308295.5756407","1780308295.5755095","0"
"1780308296.5756009","1780308296.5754557","0"
"1780308297.5756302","1780308297.575494","0"
"1780308298.5756357","1780308298.5755043","0"
"1780308299.575816","1780308299.5756397","0"
"1780308300.5757086","1780308300.5755763","0"
"1780308301.5757797","1780308301.575632","0"
"1780308302.5757155","1780308302.5755677","0"
"1780308303.5756414","1780308303.575457","0"
"1780308304.5756886","1780308304.575506","0"
"1780308305.5756998","1780308305.5755117","0"
"1780308306.5756428","1780308306.5755095","0"
"1780308307.5756028","1780308307.5754611","0"
"1780308308.5756304","1780308308.5754855","0"
"1780308309.575622","1780308309.575485","0"
"1780308310.5756307","1780308310.5755022","0"
"1780308311.575644","1780308311.5755048","0"
"1780308312.5756595","1780308312.575515","0"
"1780308313.5756223","1780308313.5754836","0"
"1780308314.5755808","1780308314.5754378","0"
"1780308315.57561","1780308315.5754776","0"
"1780308316.5755985","1780308316.575475","0"
"1780308317.5756004","1780308317.575457","0"
"1780308318.5756228","1780308318.575478","0"
"1780308319.575575","1780308319.5754454","0"
"1780308320.5755687","1780308320.5754287","0"
"1780308321.57561","1780308321.5754747","0"
"1780308322.5756185","1780308322.5754883","0"
"1780308323.575669","1780308323.5755243","0"
"1780308324.5756435","1780308324.5755012","0"
"1780308325.5756614","1780308325.5755322","0"
"1780308326.5756557","1780308326.5755067","0"
"1780308327.575689","1780308327.5755353","0"
"1780308328.5756588","1780308328.575527","0"
"1780308329.575685","1780308329.5755296","0"
"1780308330.5756621","1780308330.5755184","0"
"1780308331.5756621","1780308331.5755358","0"
"1780308332.5756347","1780308332.575483","0"
"1780308333.5755742","1780308333.575449","0"
"1780308334.5756464","1780308334.575514","0"
"1780308335.5756307","1780308335.5754888","0"
"1780308336.5756392","1780308336.5754995","0"
"1780308337.5756035","1780308337.5754693","0"
"1780308338.5756145","1780308338.5754657","0"
"1780308339.5756202","1780308339.5754843","0"
"1780308340.5756269","1780308340.575495","0"
"1780308341.5755997","1780308341.5754604","0"
"1780308342.57565","1780308342.575515","0"
"1780308343.5756528","1780308343.5755174","0"
"1780308344.575627","1780308344.5754824","0"
"1780308345.57558","1780308345.5754492","0"
"1780308346.5755424","1780308346.5754278","0"
"1780308347.5755804","1780308347.575442","0"
"1780308348.575579","1780308348.575444","0"
"1780308349.5755825","1780308349.5754406","0"
"1780308350.5756512","1780308350.5755","0"
"1780308351.5755968","1780308351.5754619","0"
"1780308352.5755823","1780308352.5754547","0"
"1780308353.5756075","1780308353.575455","0"
"1780308354.5756164","1780308354.5754817","0"
"1780308355.5755594","1780308355.5754352","0"
"1780308356.5757458","1780308356.575593","0"
"1780308357.575672","1780308357.5755353","0"
"1780308358.5755577","1780308358.5754387","0"
