"log_time_s","publish_time_s","file","function","level","line","msg","name"
"1780308179.9676366","1780308179.96762","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/rosout'","rosbag2_recorder"
"1780308179.9690003","1780308179.9689772","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/events/write_split'","rosbag2_recorder"
"1780308179.9691927","1780308179.9691725","./src/rosbag2_transport/recorder.cpp","record","20","365","Recording...","rosbag2_recorder"
"1780308180.0373545","1780308179.957227","./src/rosbag2_transport/recorder.cpp","RecorderImpl","20","190","Press SPACE for pausing/resuming","rosbag2_recorder"
"1780308180.037449","1780308179.9658744","./src/rosbag2_transport/recorder.cpp","record","20","353","Listening for topics...","rosbag2_recorder"
"1780308180.0374548","1780308179.9659185","./src/rosbag2_transport/recorder.cpp","event_publisher_thread_main","20","371","Event publisher thread: Starting","rosbag2_recorder"
"1780308180.1322012","1780308173.9555035","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subMovilTipo","20","251","Comando Movil Tipo: Experimento 1","mainNode"
"1780308180.132223","1780308176.9552417","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subMovilModo","20","299","Comando Movil Modo: Modo:0","mainNode"
"1780308180.132228","1780308178.9547849","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subMovilEjecucion","20","324","Comando Movil Ejecucion: 20","mainNode"
"1780308180.1429713","1780308173.9541812","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py","timer_callback","20","264","Dato publicado Tipo Experimento: Experimento 1","Movil"
"1780308180.1430287","1780308173.9553742","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py","timer_callback","20","269","Dato publicado Tipo Experimento Int: 1","Movil"
"1780308180.1430333","1780308176.95435","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py","timer_callback","20","276","Dato publicado Modo: Modo:0","Movil"
"1780308180.1430383","1780308176.9572175","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py","timer_callback","20","281","Dato publicado Modo Int: 0","Movil"
"1780308180.1430423","1780308178.9544873","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py","timer_callback","20","300","Dato publicado Fase Ejecucion: 20","Movil"
"1780308180.144982","1780308173.9588056","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/BagControlNode.py","nombre_callback","20","39","Nombre seleccionado: ./samuchair_bag/BASAL_USUARIO1_1_2_2026_06_01-12_02_53","BagControlNode"
"1780308180.1450188","1780308176.9550176","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/BagControlNode.py","nombre_callback","20","39","Nombre seleccionado: ./samuchair_bag/BASAL_USUARIO1_1_0_2026_06_01-12_02_56","BagControlNode"
"1780308180.145036","1780308178.9663413","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/BagControlNode.py","start_bag","20","58","Iniciando grabación: ./samuchair_bag/BASAL_USUARIO1_1_0_2026_06_01-12_02_56","BagControlNode"
"1780308180.1746755","1780308180.1746476","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/name_movil'","rosbag2_recorder"
"1780308180.1777313","1780308180.1777027","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/name_movil_hash'","rosbag2_recorder"
"1780308180.1807015","1780308180.1806707","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/directorio_grabacion'","rosbag2_recorder"
"1780308180.1871095","1780308180.1870804","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/tipo_exp'","rosbag2_recorder"
"1780308180.1902986","1780308180.1902554","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/right_wheel_steps'","rosbag2_recorder"
"1780308180.1937802","1780308180.1937423","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/pot_esp32'","rosbag2_recorder"
"1780308180.1970088","1780308180.1969664","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/Ejecucion'","rosbag2_recorder"
"1780308180.2003052","1780308180.2002676","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/parameter_events'","rosbag2_recorder"
"1780308180.2018576","1780308180.2018251","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/tipo_exp_int'","rosbag2_recorder"
"1780308180.204842","1780308180.2048075","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/Movil_status'","rosbag2_recorder"
"1780308180.206767","1780308180.2067358","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/modo_exp'","rosbag2_recorder"
"1780308180.2092307","1780308180.2091937","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/modo_exp_int'","rosbag2_recorder"
"1780308180.211887","1780308180.2118518","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/arduino_status'","rosbag2_recorder"
"1780308180.213943","1780308180.2139142","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/control_grabacion'","rosbag2_recorder"
"1780308180.2160337","1780308180.2160048","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/esp32_status'","rosbag2_recorder"
"1780308180.2181315","1780308180.2180946","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/left_wheel_steps'","rosbag2_recorder"
"1780308181.0210657","1780308181.0210443","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/frame'","rosbag2_recorder"
"1780308181.0238473","1780308181.023814","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/webcam_status'","rosbag2_recorder"
